JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,4918,340,871,1539,952,46,839,331
ARAD,2980,793,400,857,414,25,294,197
ARGES,8140,427,2303,2757,1013,94,1234,312
BACAU,5726,529,1059,2276,651,41,959,211
BIHOR,4682,657,1495,1178,599,54,400,299
BISTRITA,4331,334,651,1536,906,32,680,192
BOTOSANI,4281,139,833,1984,550,28,654,93
BRAILA,4502,629,1116,1788,332,52,480,105
BRASOV,6409,751,1879,2500,517,53,397,312
BUZAU,7083,731,1757,2607,751,49,1085,103
CALARASI,4187,510,1160,1517,476,36,428,60
CARAS,2845,303,479,862,620,34,380,167
CLUJ,4850,887,877,1199,668,96,713,410
CONSTANTA,4115,703,929,1097,691,39,398,258
COVASNA,3417,539,1570,751,278,29,211,39
DAMBOVITA,5096,395,1271,1846,762,48,628,146
DOLJ,18659,1417,5479,6982,2384,78,2013,306
GALATI,9367,1170,2252,3830,742,51,1076,246
GIURGIU,1774,190,333,780,274,14,139,44
GORJ,3986,0,562,1286,920,57,929,232
HARGHITA,5397,1112,1661,1323,649,45,491,116
HUNEDOARA,7450,566,1076,2035,1981,132,1089,571
IALOMITA,4190,419,1018,1722,395,29,564,43
IASI,9828,547,2269,3554,721,60,2365,312
ILFOV,883,85,205,240,148,9,91,105
MARAMURES,4174,304,946,1196,696,68,716,248
MEHEDINTI,6691,632,1190,2942,1026,54,738,109
MUN. BUC.,10120,8,80,1625,3605,225,1861,2716
MURES,6997,1042,2699,1875,543,58,606,174
NEAMT,8102,615,1506,3002,909,58,1777,235
OLT,7313,689,910,3153,1110,52,1278,121
PRAHOVA,6424,483,1217,1936,1004,90,1367,327
SALAJ,4943,690,1613,1460,465,35,547,133
SATU M.,5909,1019,2377,1719,328,23,355,88
SIBIU,5021,537,2041,1177,449,31,563,223
SUCEAVA,11462,882,2840,4319,1305,85,1731,300
TELEORMAN,9880,1014,1269,5535,1002,37,931,92
TIMIS,2962,509,271,696,650,43,382,411
TULCEA,2461,0,366,1181,463,0,377,74
VALCEA,2652,26,118,529,908,66,736,269
VASLUI,9537,432,2124,4486,931,39,1449,76
VRANCEA,2531,128,678,963,368,34,277,83
Total general,246275,23183,55750,85840,34156,2229,34228,10889
