JUDET ;NUMAR TOTAL SOMERI ;NUMAR TOTAL SOMERI FEMEI  ;NUMAR TOTAL SOMERI BARBATI ;NUMAR TOTAL SOMERI DIN MEDIUL URBAN ;NUMAR SOMERI FEMEI DIN MEDIUL URBAN ;NUMAR SOMERI BARBATI DIN MEDIUL URBAN ;NUMAR TOTAL SOMERI DIN MEDIUL RURAL ;NUMAR SOMERI FEMEI DIN MEDIUL RURAL ;NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
 ALBA;5668;2759;2909;1762;956;806;3906;1803;2103
 ARAD;3636;1818;1818;1274;673;601;2362;1145;1217
 ARGES;8818;4056;4762;1317;809;508;7501;3247;4254
 BACAU;3757;1739;2018;1290;691;599;2467;1048;1419
 BIHOR;5473;2677;2796;1570;936;634;3903;1741;2162
 BISTRITA-NASAUD;3954;1829;2125;1142;571;571;2812;1258;1554
 BOTOSANI;4671;2015;2656;1230;687;543;3441;1328;2113
 BRAILA;5526;2397;3129;1284;752;532;4242;1645;2597
 BRASOV;7136;3157;3979;1930;978;952;5206;2179;3027
 BUZAU;6367;2889;3478;1147;666;481;5220;2223;2997
 CALARASI;4565;2216;2349;1076;600;476;3489;1616;1873
 CARAS-SEVERIN;3266;1506;1760;1382;688;694;1884;818;1066
 CLUJ;5241;2641;2600;1981;1217;764;3260;1424;1836
 CONSTANTA;6447;3822;2625;2610;1823;787;3837;1999;1838
 COVASNA;3911;1741;2170;1024;543;481;2887;1198;1689
 DAMBOVITA;6426;3032;3394;879;487;392;5547;2545;3002
 DOLJ;20340;9233;11107;2668;1455;1213;17672;7778;9894
 GALATI;10512;4326;6186;1707;913;794;8805;3413;5392
 GIURGIU;1942;966;976;370;208;162;1572;758;814
 GORJ;4773;2450;2323;1505;908;597;3268;1542;1726
 HARGHITA;6424;3014;3410;1810;974;836;4614;2040;2574
 HUNEDOARA;6711;3724;2987;4572;2591;1981;2139;1133;1006
 IALOMITA;4714;2110;2604;1185;608;577;3529;1502;2027
 IASI;9913;4501;5412;1467;826;641;8446;3675;4771
 ILFOV;989;605;384;236;145;91;753;460;293
 MARAMURES;4758;2386;2372;2270;1207;1063;2488;1179;1309
 MEHEDINTI;7481;3245;4236;1158;656;502;6323;2589;3734
 MURES;6580;2924;3656;1758;904;854;4822;2020;2802
 NEAMT;8947;3798;5149;1383;765;618;7564;3033;4531
 OLT;8099;3530;4569;1471;853;618;6628;2677;3951
 PRAHOVA;6300;3246;3054;1938;1120;818;4362;2126;2236
 SALAJ;5585;2377;3208;816;426;390;4769;1951;2818
 SATU MARE;6857;3267;3590;1448;786;662;5409;2481;2928
 SIBIU;5870;2752;3118;1650;894;756;4220;1858;2362
 SUCEAVA;13493;5694;7799;3220;1524;1696;10273;4170;6103
 TELEORMAN;10591;4198;6393;1781;827;954;8810;3371;5439
 TIMIS;3369;1797;1572;1355;773;582;2014;1024;990
 TULCEA;2729;1354;1375;647;387;260;2082;967;1115
 VALCEA;3628;1761;1867;1106;613;493;2522;1148;1374
 VASLUI;10146;4226;5920;1304;707;597;8842;3519;5323
 VRANCEA;2332;1126;1206;479;253;226;1853;873;980
BUCURESTI;7924;4531;3393;7924;4531;3393;0;0;0
Total TARA ;265869;123435;142434;70126;38931;31195;195743;84504;111239
