judet ;TOTAL ;Sub 25 ani;25 - 29 ani;30 - 39 ani;40 - 49 ani;50 - 55 ani;peste 55 ani
ALBA;5530;386;359;1124;1419;1068;1174
ARAD;3592;215;162;597;932;790;896
ARGES;8651;519;472;1651;2181;1751;2077
BACAU;3383;183;142;516;914;736;892
BIHOR;5051;355;310;978;1306;857;1245
BISTRITA NASAUD;3691;203;194;651;869;622;1152
BOTOSANI;4160;174;148;593;1097;990;1158
BRAILA;5355;352;238;825;1404;897;1639
BRASOV;6815;741;500;1600;1668;1086;1220
BUZAU;5889;254;186;756;1453;1540;1700
CALARASI;4295;296;251;903;1120;814;911
CARAS-SEVERIN;3090;173;135;517;752;642;871
CLUJ;5089;488;338;1047;1264;901;1051
CONSTANTA;5093;276;199;822;1295;819;1682
COVASNA;3837;561;311;825;959;628;553
DAMBOVITA;6344;451;347;1222;1590;1161;1573
DOLJ;19604;1474;1304;3784;4868;3751;4423
GALATI;10399;589;477;1519;2757;1941;3116
GIURGIU;1510;110;86;276;381;298;359
GORJ;4567;228;206;736;1118;1038;1241
HARGHITA;6126;840;473;1249;1510;998;1056
HUNEDOARA;6574;607;450;1198;1549;1328;1442
IALOMITA;4446;273;201;774;1131;772;1295
IASI;9481;471;387;1494;2680;1704;2745
ILFOV;947;75;73;200;243;161;195
MARAMURES;4819;457;305;1031;1263;862;901
MEHEDINTI;7229;343;328;1071;1955;1567;1965
MUNICIPIUL BUCURESTI;7745;226;493;2123;1801;1570;1532
MURES;6327;795;455;1372;1567;865;1273
NEAMT;8889;493;378;1399;2396;1957;2266
OLT;7823;801;813;1205;1731;1518;1755
PRAHOVA;6244;331;300;998;1679;1405;1531
SALAJ;5347;709;426;1218;1304;856;834
SATU-MARE;6613;899;495;1432;1734;1037;1016
SIBIU;5772;538;448;1414;1463;776;1133
SUCEAVA;12562;1179;812;2539;3429;1809;2794
TELEORMAN;10091;724;504;1694;2546;2029;2594
TIMIS;3256;134;148;595;855;593;931
TULCEA;2637;120;103;404;622;695;693
VALCEA;3595;161;160;551;955;828;940
VASLUI ;9913;340;308;1402;2764;2456;2643
VRANCEA;2213;126;86;369;509;511;612
TOTAL;254594;18670;14511;46674;65033;48627;61079
