judet ;TOTAL ;Sub 25 ani;25 - 29 ani;30 - 39 ani;40 - 49 ani;50 - 55 ani;peste 55 ani
ALBA;5310;499;335;1074;1349;988;1065
ARAD;3350;226;158;543;886;728;809
ARGES;8642;639;474;1658;2244;1702;1925
BACAU;4093;327;162;587;1024;930;1063
BIHOR;5626;548;365;1108;1425;906;1274
BISTRITA NASAUD;3955;430;208;653;882;656;1126
BOTOSANI;4841;374;200;732;1258;1067;1210
BRAILA;5301;435;239;816;1381;878;1552
BRASOV;6850;843;541;1649;1650;1047;1120
BUZAU;7093;549;248;953;1718;1699;1926
CALARASI;4540;420;274;948;1162;824;912
CARAS-SEVERIN;3207;283;157;537;797;632;801
CLUJ;5013;616;325;974;1257;881;960
CONSTANTA;6299;362;218;968;1691;1094;1966
COVASNA;4032;774;304;810;958;626;560
DAMBOVITA;6200;609;321;1130;1516;1183;1441
DOLJ;20398;1864;1362;4046;5099;3883;4144
GALATI;9208;649;374;1290;2440;1770;2685
GIURGIU;1879;167;88;397;461;351;415
GORJ;4746;411;216;769;1125;1044;1181
HARGHITA;6551;1135;494;1356;1521;1032;1013
HUNEDOARA;6795;764;512;1226;1589;1356;1348
IALOMITA;4720;431;215;809;1235;774;1256
IASI;10099;738;497;1675;2773;1671;2745
ILFOV;821;54;35;164;212;171;185
MARAMURES;4227;585;253;875;1064;722;728
MEHEDINTI;7167;452;340;1046;1906;1533;1890
MUNICIPIUL BUCURESTI;8702;294;620;2078;2120;1857;1733
MURES;6109;898;458;1293;1509;846;1105
NEAMT;8487;603;355;1337;2296;1850;2046
OLT;7008;642;409;1039;1655;1492;1771
PRAHOVA;6456;597;279;1019;1632;1457;1472
SALAJ;5568;892;442;1267;1354;809;804
SATU-MARE;6588;897;470;1449;1811;1004;957
SIBIU;5608;627;435;1345;1410;730;1061
SUCEAVA;13086;1644;872;2677;3391;1845;2657
TELEORMAN;10381;854;527;1778;2666;2025;2531
TIMIS;3610;292;177;641;992;595;913
TULCEA;2817;178;239;509;584;664;643
VALCEA;3538;372;185;571;867;752;791
VASLUI ;10042;404;319;1418;2843;2530;2528
VRANCEA;2385;233;90;398;528;544;592
TOTAL;261348;24611;14792;47612;66281;49148;58904
