JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 4,987     "," 2,440     "," 2,547     "," 1,929     "," 3,068     ", 3.17     , 3.43     , 2.95     ,
ARAD," 2,926     "," 1,541     "," 1,385     "," 1,036     "," 1,890     ", 1.51     , 1.85     , 1.25     ,
ARGES," 8,185     "," 3,823     "," 4,362     "," 1,711     "," 6,474     ", 3.51     , 3.53     , 3.48     ,
BACAU," 6,091     "," 2,611     "," 3,480     "," 1,408     "," 4,683     ", 3.21     , 3.24     , 3.19     ,
BIHOR," 4,820     "," 2,500     "," 2,320     "," 1,531     "," 3,289     ", 2.03     , 2.39     , 1.74     ,
BISTRITA NASAUD," 4,512     "," 2,156     "," 2,356     "," 1,989     "," 2,523     ", 3.90     , 4.38     , 3.54     ,
BOTOSANI," 4,430     "," 1,977     "," 2,453     ", 671     ," 3,759     ", 3.97     , 3.88     , 4.05     ,
BRAILA," 4,298     "," 1,819     "," 2,479     ", 591     ," 3,707     ", 3.90     , 3.59     , 4.17     ,
BRASOV," 6,360     "," 2,874     "," 3,486     ", 918     ," 5,442     ", 2.45     , 2.52     , 2.39     ,
BUZAU," 7,305     "," 3,155     "," 4,150     "," 1,154     "," 6,151     ", 5.02     , 5.02     , 5.02     ,
CALARASI," 4,127     "," 1,939     "," 2,188     ", 408     ," 3,719     ", 5.41     , 5.62     , 5.23     ,
CARA?-SEVERIN," 2,891     "," 1,316     "," 1,575     "," 1,027     "," 1,864     ", 3.10     , 3.31     , 2.94     ,
CLUJ," 4,876     "," 2,470     "," 2,406     "," 1,385     "," 3,491     ", 1.35     , 1.54     , 1.20     ,
CONSTANTA," 4,345     "," 2,400     "," 1,945     "," 1,287     "," 3,058     ", 1.55     , 1.99     , 1.22     ,
COVASNA," 3,163     "," 1,477     "," 1,686     ", 498     ," 2,665     ", 3.94     , 4.11     , 3.80     ,
