JUDET  ;Total someri, din care: ;fara studii;invatamant primar ;invatamant gimnazial ;invatamant liceal;invatamant posticeal;invatamant profesional/arte si meserii;invatamant universitar
ALBA ;5310;392;996;1638;1081;45;872;286
ARAD;3350;841;439;906;543;40;312;269
ARGES;8642;409;2428;2830;1193;93;1376;313
BACAU;4093;405;610;1474;600;44;743;217
BIHOR;5626;722;1647;1369;817;73;619;379
BISTRITA;3955;332;760;1167;861;49;578;208
BOTOSANI;4841;140;897;2123;691;52;809;129
BRAILA;5301;689;1249;2068;458;68;621;148
BRASOV;6850;798;2122;2454;641;44;492;299
BUZAU;7093;2096;223;2489;966;59;1137;123
CALARASI;4540;532;1565;1498;485;15;391;54
CARAS;3207;329;532;923;749;51;436;187
CLUJ;5013;859;980;1240;731;98;691;414
CONSTANTA;6299;818;1195;1730;1247;77;857;375
COVASNA;4032;592;1779;802;442;35;313;69
DAMBOVITA;6200;522;1681;2159;897;62;712;167
DOLJ;20398;1533;5822;7491;2872;104;2198;378
GALATI;9208;989;1977;3786;955;67;1146;288
GIURGIU;1879;209;363;827;279;11;135;55
GORJ;4746;301;342;1394;1276;107;1049;277
HARGHITA;6551;1189;1841;1544;978;75;735;189
HUNEDOARA;6795;559;1036;1796;1734;138;955;577
IALOMITA;4720;518;1140;1901;423;30;650;58
IASI;10099;555;2233;3513;814;82;2513;389
ILFOV;821;69;176;222;170;4;88;92
MARAMURES;4227;329;805;1018;940;102;723;310
MEHEDINTI;7167;691;1311;3049;1167;76;732;141
MUN. BUC.;8702;9;37;1266;3318;203;1525;2344
MURES;6109;712;2258;1478;691;67;679;224
NEAMT;8487;597;1537;3135;961;79;1961;217
OLT;7008;663;839;2855;1216;83;1187;165
PRAHOVA;6456;426;1066;1921;1167;84;1398;394
SALAJ;5568;769;1825;1624;579;46;571;154
SATU M.;6588;1136;2540;1946;417;20;431;98
SIBIU;5608;584;2276;1325;522;35;590;276
SUCEAVA;13086;943;3229;4752;1696;120;1955;391
TELEORMAN;10381;1089;1296;5558;1200;69;1034;135
TIMIS;3610;576;398;804;800;46;474;512
TULCEA;2817;0;378;1293;621;0;439;86
VALCEA;3538;52;366;863;1091;72;830;264
VASLUI;10042;447;2141;4729;1042;48;1542;93
VRANCEA;2385;115;578;853;391;63;285;100
Total general;261348;25536;56913;87813;39722;2736;36784;11844
