JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,060     "," 2,493     "," 2,567     "," 1,787     "," 3,273     ", 3.21     , 3.51     , 2.96     ,
ARAD," 3,035     "," 1,532     "," 1,503     "," 1,026     "," 2,009     ", 1.56     , 1.84     , 1.35     ,
ARGES," 8,096     "," 3,805     "," 4,291     "," 1,800     "," 6,296     ", 3.47     , 3.52     , 3.42     ,
BACAU," 5,047     "," 2,266     "," 2,781     "," 1,363     "," 3,684     ", 2.66     , 2.81     , 2.55     ,
BIHOR," 4,914     "," 2,496     "," 2,418     "," 1,735     "," 3,179     ", 2.07     , 2.39     , 1.81     ,
BISTRITA NASAUD," 4,127     "," 2,035     "," 2,092     "," 1,726     "," 2,401     ", 3.56     , 4.14     , 3.14     ,
BOTOSANI," 4,569     "," 2,136     "," 2,433     ", 852     ," 3,717     ", 4.09     , 4.19     , 4.01     ,
BRAILA," 4,775     "," 2,064     "," 2,711     ", 690     ," 4,085     ", 4.34     , 4.08     , 4.56     ,
BRASOV," 6,366     "," 2,884     "," 3,482     ", 948     ," 5,418     ", 2.45     , 2.53     , 2.39     ,
BUZAU," 7,070     "," 3,069     "," 4,001     "," 1,329     "," 5,741     ", 4.86     , 4.89     , 4.84     ,
CALARASI," 4,277     "," 1,955     "," 2,322     ", 539     ," 3,738     ", 5.61     , 5.67     , 5.56     ,
CARA?-SEVERIN," 2,791     "," 1,251     "," 1,540     "," 1,010     "," 1,781     ", 2.99     , 3.15     , 2.88     ,
CLUJ," 4,596     "," 2,342     "," 2,254     "," 1,311     "," 3,285     ", 1.27     , 1.46     , 1.12     ,
CONSTANTA," 4,222     "," 2,219     "," 2,003     "," 1,079     "," 3,143     ", 1.51     , 1.84     , 1.26     ,
COVASNA," 3,689     "," 1,709     "," 1,980     ", 623     ," 3,066     ", 4.59     , 4.76     , 4.46     ,
DAMBOVITA," 5,168     "," 2,543     "," 2,625     "," 1,336     "," 3,832     ", 3.03     , 3.64     , 2.61     ,
DOLJ," 18,707     "," 8,554     "," 10,153     "," 1,807     "," 16,900     ", 8.11     , 8.42     , 7.86     ,
GALATI," 9,118     "," 3,803     "," 5,315     "," 1,061     "," 8,057     ", 5.42     , 5.02     , 5.75     ,
GIURGIU," 1,835     ", 944     , 891     , 393     ," 1,442     ", 2.76     , 3.24     , 2.38     ,
GORJ," 4,207     "," 2,123     "," 2,084     "," 1,176     "," 3,031     ", 3.44     , 3.83     , 3.12     ,
HARGHITA," 5,561     "," 2,700     "," 2,861     "," 1,362     "," 4,199     ", 4.51     , 5.19     , 4.02     ,
HUNEDOARA," 7,263     "," 4,063     "," 3,200     "," 2,215     "," 5,048     ", 4.66     , 5.58     , 3.86     ,
IALOMITA," 4,399     "," 2,125     "," 2,274     ", 688     ," 3,711     ", 5.53     , 5.99     , 5.17     ,
IASI," 9,767     "," 4,332     "," 5,435     ", 865     ," 8,902     ", 3.54     , 3.44     , 3.62     ,
ILFOV, 897     , 571     , 326     , 391     , 506     , 0.42     , 0.66     , 0.26     ,
MARAMURES," 4,293     "," 2,198     "," 2,095     "," 1,503     "," 2,790     ", 2.40     , 2.78     , 2.10     ,
MEHEDINTI," 6,544     "," 2,817     "," 3,727     ", 861     ," 5,683     ", 7.67     , 7.34     , 7.95     ,
MUN. BUC.," 9,831     "," 5,590     "," 4,241     "," 1,616     "," 8,215     ", 0.78     , 0.88     , 0.68     ,
MURES," 6,079     "," 2,843     "," 3,236     "," 1,341     "," 4,738     ", 2.85     , 3.17     , 2.62     ,
NEAMT," 8,123     "," 3,480     "," 4,643     "," 1,307     "," 6,816     ", 5.24     , 5.04     , 5.41     ,
OLT," 7,358     "," 3,273     "," 4,085     "," 1,054     "," 6,304     ", 5.50     , 5.63     , 5.40     ,
PRAHOVA," 6,140     "," 3,114     "," 3,026     "," 2,189     "," 3,951     ", 2.25     , 2.76     , 1.89     ,
SALAJ," 5,005     "," 2,170     "," 2,835     ", 823     ," 4,182     ", 5.40     , 5.47     , 5.35     ,
SATU MARE," 5,832     "," 2,792     "," 3,040     ", 765     ," 5,067     ", 4.46     , 4.70     , 4.26     ,
SIBIU," 5,058     "," 2,430     "," 2,628     ", 967     ," 4,091     ", 2.64     , 2.84     , 2.49     ,
SUCEAVA," 12,133     "," 5,267     "," 6,866     "," 2,642     "," 9,491     ", 6.18     , 6.13     , 6.22     ,
TELEORMAN," 9,547     "," 3,953     "," 5,594     "," 1,197     "," 8,350     ", 8.63     , 7.83     , 9.31     ,
TIMIS," 3,468     "," 1,926     "," 1,542     "," 1,875     "," 1,593     ", 1.03     , 1.31     , 0.81     ,
TULCEA," 2,476     "," 1,218     "," 1,258     ", 611     ," 1,865     ", 3.36     , 3.57     , 3.18     ,
VALCEA," 2,777     "," 1,503     "," 1,274     "," 1,856     ", 921     , 1.94     , 2.40     , 1.58     ,
VASLUI," 9,738     "," 4,121     "," 5,617     "," 1,162     "," 8,576     ", 8.98     , 8.10     , 9.75     ,
VRANCEA," 2,424     "," 1,187     "," 1,237     ", 629     ," 1,795     ", 2.09     , 2.24     , 1.96     ,
Total ," 246,382     "," 115,896     "," 130,486     "," 51,510     "," 194,872     ", 3.06     , 3.20     , 2.95     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
