judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4918,293,276,999,1297,1031,1022
ARAD,2980,192,127,498,798,695,670
ARGES,8140,474,472,1609,2161,1604,1820
BACAU,5726,311,231,852,1517,1285,1530
BIHOR,4682,314,304,986,1252,793,1033
BISTRITA NASAUD,4331,284,236,673,1078,800,1260
BOTOSANI,4281,189,173,785,1220,948,966
BRAILA,4502,310,202,757,1208,769,1256
BRASOV,6409,660,464,1524,1598,1061,1102
BUZAU,7083,327,238,926,1808,1790,1994
CALARASI,4187,527,187,834,1085,682,872
CARAS-SEVERIN,2845,167,153,456,717,606,746
CLUJ,4850,442,315,953,1220,905,1015
CONSTANTA,4115,180,166,706,1082,660,1321
COVASNA,3417,547,250,753,843,541,483
DAMBOVITA,5096,363,262,949,1314,1080,1128
DOLJ,18659,1447,1173,3610,4787,3648,3994
GALATI,9367,495,404,1414,2640,1809,2605
GIURGIU,1774,119,91,381,496,331,356
GORJ,3986,180,160,616,995,986,1049
HARGHITA,5397,776,406,1181,1332,821,881
HUNEDOARA,7450,744,574,1322,1758,1600,1452
IALOMITA,4190,243,202,781,1101,729,1134
IASI,9828,548,455,1739,2855,1675,2556
ILFOV,883,36,42,188,233,184,200
MARAMURES,4174,393,226,979,1138,723,715
MEHEDINTI,6691,297,272,974,1825,1505,1818
MUNICIPIUL BUCURESTI,10120,211,715,2367,2587,2360,1880
MURES,6997,830,551,1574,1804,920,1318
NEAMT,8102,437,358,1366,2228,1747,1966
OLT,7313,548,582,1079,1812,1580,1712
PRAHOVA,6424,427,261,1145,1790,1454,1347
SALAJ,4943,600,344,1148,1252,781,818
SATU-MARE,5909,761,432,1365,1629,885,837
SIBIU,5021,430,417,1247,1290,681,956
SUCEAVA,11462,1034,766,2449,3053,1733,2427
TELEORMAN,9880,628,496,1774,2553,2002,2427
TIMIS,2962,251,115,569,769,500,758
TULCEA,2461,120,256,373,574,583,555
VALCEA,2652,109,115,414,683,714,617
VASLUI ,9537,266,288,1419,2790,2368,2406
VRANCEA,2531,186,116,463,594,583,589
TOTAL,246275,17696,13873,46197,64766,48152,55591
