JUDET  ;Total someri, din care: ;fara studii;invatamant primar ;invatamant gimnazial ;invatamant liceal;invatamant posticeal;invatamant profesional/arte si meserii;invatamant universitar
ALBA ;5530;402;1089;1694;1077;56;941;271
ARAD;3592;855;528;961;576;48;325;299
ARGES;8651;413;2410;2866;1163;83;1407;309
BACAU;3383;348;458;1145;520;42;660;210
BIHOR;5051;580;1418;1253;753;75;582;390
BISTRITA;3691;314;750;1185;713;30;527;172
BOTOSANI;4160;129;760;1905;536;31;699;100
BRAILA;5355;708;1300;2148;447;44;584;124
BRASOV;6815;804;2058;2388;645;58;531;331
BUZAU;5889;1482;199;2312;723;45;1005;123
CALARASI;4295;512;1509;1465;382;17;358;52
CARAS;3090;314;502;922;705;35;424;188
CLUJ;5089;866;946;1294;707;103;695;478
CONSTANTA;5093;794;1127;1331;940;59;509;333
COVASNA;3837;544;1743;788;366;53;256;87
DAMBOVITA;6344;501;1708;2268;909;60;712;186
DOLJ;19604;1491;5733;7420;2479;86;2035;360
GALATI;10399;1192;2446;4197;966;60;1272;266
GIURGIU;1510;115;313;578;314;11;113;66
GORJ;4567;306;296;1361;1185;72;1081;266
HARGHITA;6126;1171;1802;1468;790;76;663;156
HUNEDOARA;6574;550;991;1790;1617;141;903;582
IALOMITA;4446;525;1129;1777;358;22;581;54
IASI;9481;523;2051;3269;740;78;2476;344
ILFOV;947;94;198;224;194;9;81;147
MARAMURES;4819;332;974;1260;1010;89;841;313
MEHEDINTI;7229;737;1339;3147;1052;50;785;119
MUN. BUC.;7745;9;54;1210;2961;168;1310;2033
MURES;6327;837;2297;1667;567;66;702;191
NEAMT;8889;628;1708;3397;904;58;1996;198
OLT;7823;722;922;3473;1161;60;1356;129
PRAHOVA;6244;372;980;1890;1125;71;1397;409
SALAJ;5347;762;1745;1528;557;36;550;169
SATU M.;6613;1149;2609;1990;367;30;375;93
SIBIU;5772;632;2295;1397;537;41;592;278
SUCEAVA;12562;958;3195;4718;1426;107;1828;330
TELEORMAN;10091;1039;1246;5529;1094;40;1033;110
TIMIS;3256;525;338;814;665;40;409;465
TULCEA;2637;0;360;1238;530;0;432;77
VALCEA;3595;76;434;1076;835;61;902;211
VASLUI;9913;434;2068;4816;966;35;1527;67
VRANCEA;2213;109;536;832;350;38;261;87
Total general;254594;24854;56564;87991;35912;2384;35716;11173
