JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5246,2566,2680,1684,913,771,3562,1653,1909,
 ARAD,3087,1596,1491,1032,582,450,2055,1014,1041,
 ARGES,8141,3835,4306,1123,701,422,7018,3134,3884,
 BACAU,4854,2214,2640,1514,772,742,3340,1442,1898,
 BIHOR,4934,2479,2455,1295,788,507,3639,1691,1948,
 BISTRITA-NASAUD,4248,2149,2099,1296,716,580,2952,1433,1519,
 BOTOSANI,4944,2297,2647,1416,816,600,3528,1481,2047,
 BRAILA,5011,2235,2776,1278,777,501,3733,1458,2275,
 BRASOV,6383,2848,3535,1569,841,728,4814,2007,2807,
 BUZAU,7106,3123,3983,1247,704,543,5859,2419,3440,
 CALARASI,4393,2181,2212,1052,597,455,3341,1584,1757,
 CARAS-SEVERIN,2945,1339,1606,1236,612,624,1709,727,982,
 CLUJ,4738,2383,2355,1804,1115,689,2934,1268,1666,
 CONSTANTA,4418,2328,2090,1701,1050,651,2717,1278,1439,
 COVASNA,3749,1749,2000,1107,622,485,2642,1127,1515,
 DAMBOVITA,5238,2505,2733,804,456,348,4434,2049,2385,
 DOLJ,19357,8849,10508,2713,1492,1221,16644,7357,9287,
 GALATI,9139,3829,5310,1350,738,612,7789,3091,4698,
 GIURGIU,1883,953,930,349,204,145,1534,749,785,
 GORJ,4445,2261,2184,1334,823,511,3111,1438,1673,
 HARGHITA,5735,2792,2943,1718,954,764,4017,1838,2179,
 HUNEDOARA,7214,3966,3248,4818,2723,2095,2396,1243,1153,
 IALOMITA,4497,2159,2338,1117,593,524,3380,1566,1814,
 IASI,9619,4305,5314,1274,673,601,8345,3632,4713,
 ILFOV,872,547,325,204,131,73,668,416,252,
 MARAMURES,4218,2195,2023,1877,1035,842,2341,1160,1181,
 MEHEDINTI,6662,2868,3794,1077,565,512,5585,2303,3282,
 MURES,5985,2829,3156,1737,950,787,4248,1879,2369,
 NEAMT,8311,3561,4750,1261,694,567,7050,2867,4183,
 OLT,7561,3384,4177,1236,703,533,6325,2681,3644,
 PRAHOVA,6282,3162,3120,1847,1074,773,4435,2088,2347,
 SALAJ,5116,2198,2918,752,412,340,4364,1786,2578,
 SATU MARE,5815,2783,3032,1116,631,485,4699,2152,2547,
 SIBIU,5057,2430,2627,1410,782,628,3647,1648,1999,
 SUCEAVA,12412,5393,7019,2975,1449,1526,9437,3944,5493,
 TELEORMAN,9389,3883,5506,1645,814,831,7744,3069,4675,
 TIMIS,3434,1875,1559,1450,828,622,1984,1047,937,
 TULCEA,2528,1226,1302,638,348,290,1890,878,1012,
 VALCEA,3167,1652,1515,1302,716,586,1865,936,929,
 VASLUI,9901,4213,5688,1340,734,606,8561,3479,5082,
 VRANCEA,2441,1197,1244,475,252,223,1966,945,1021,
BUCURESTI,9830,5569,4261,9830,5569,4261,0,0,0,
Total TARA ,250305,117906,132399,68003,37949,30054,182302,79957,102345,
