JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,327     "," 2,579     "," 2,748     "," 1,683     "," 3,644     ", 3.47     , 3.64     , 3.31     ,
ARAD," 3,100     "," 1,575     "," 1,525     "," 1,049     "," 2,051     ", 1.61     , 1.87     , 1.41     ,
ARGES," 8,300     "," 3,855     "," 4,445     "," 1,831     "," 6,469     ", 3.58     , 3.57     , 3.60     ,
BACAU," 4,428     "," 2,034     "," 2,394     "," 1,399     "," 3,029     ", 2.35     , 2.50     , 2.24     ,
BIHOR," 5,145     "," 2,595     "," 2,550     "," 1,800     "," 3,345     ", 2.18     , 2.47     , 1.94     ,
BISTRITA NASAUD," 4,310     "," 2,188     "," 2,122     "," 1,856     "," 2,454     ", 3.81     , 4.46     , 3.31     ,
BOTOSANI," 4,938     "," 2,288     "," 2,650     ", 897     ," 4,041     ", 4.49     , 4.51     , 4.47     ,
BRAILA," 5,066     "," 2,267     "," 2,799     ", 864     ," 4,202     ", 4.70     , 4.59     , 4.78     ,
BRASOV," 6,475     "," 2,877     "," 3,598     ", 904     ," 5,571     ", 2.50     , 2.59     , 2.44     ,
BUZAU," 7,167     "," 3,189     "," 3,978     "," 1,379     "," 5,788     ", 5.00     , 4.92     , 5.07     ,
CALARASI," 4,566     "," 2,252     "," 2,314     ", 556     ," 4,010     ", 5.98     , 6.36     , 5.66     ,
CARA?-SEVERIN," 3,053     "," 1,403     "," 1,650     "," 1,066     "," 1,987     ", 3.34     , 3.67     , 3.10     ,
CLUJ," 4,905     "," 2,462     "," 2,443     "," 1,308     "," 3,597     ", 1.37     , 1.56     , 1.21     ,
CONSTANTA," 5,060     "," 2,920     "," 2,140     "," 1,781     "," 3,279     ", 1.83     , 2.40     , 1.38     ,
COVASNA," 3,877     "," 1,790     "," 2,087     ", 681     ," 3,196     ", 4.90     , 4.96     , 4.84     ,
DAMBOVITA," 5,765     "," 2,733     "," 3,032     "," 1,267     "," 4,498     ", 3.54     , 4.01     , 3.19     ,
DOLJ," 19,797     "," 9,021     "," 10,776     "," 1,798     "," 17,999     ", 8.61     , 8.84     , 8.43     ,
GALATI," 9,265     "," 3,832     "," 5,433     "," 1,249     "," 8,016     ", 5.58     , 5.05     , 6.04     ,
GIURGIU," 1,934     ", 960     , 974     , 391     ," 1,543     ", 2.86     , 3.20     , 2.59     ,
GORJ," 4,636     "," 2,399     "," 2,237     "," 1,363     "," 3,273     ", 3.91     , 4.44     , 3.46     ,
HARGHITA," 6,076     "," 2,980     "," 3,096     "," 1,461     "," 4,615     ", 5.06     , 5.87     , 4.47     ,
HUNEDOARA," 6,962     "," 3,825     "," 3,137     "," 2,011     "," 4,951     ", 4.54     , 5.33     , 3.85     ,
IALOMITA," 4,592     "," 2,198     "," 2,394     ", 707     ," 3,885     ", 5.86     , 6.37     , 5.47     ,
IASI," 9,719     "," 4,321     "," 5,398     "," 1,045     "," 8,674     ", 3.51     , 3.42     , 3.60     ,
ILFOV, 830     , 521     , 309     , 362     , 468     , 0.38     , 0.57     , 0.24     ,
MARAMURES," 4,163     "," 2,118     "," 2,045     "," 1,437     "," 2,726     ", 2.36     , 2.66     , 2.11     ,
MEHEDINTI," 7,011     "," 3,027     "," 3,984     ", 915     ," 6,096     ", 8.33     , 8.03     , 8.57     ,
MUN. BUC.," 9,501     "," 5,431     "," 4,070     "," 1,600     "," 7,901     ", 0.75     , 0.84     , 0.65     ,
MURES," 6,008     "," 2,829     "," 3,179     "," 1,389     "," 4,619     ", 2.87     , 3.12     , 2.68     ,
NEAMT," 8,500     "," 3,638     "," 4,862     "," 1,401     "," 7,099     ", 5.60     , 5.41     , 5.75     ,
OLT," 7,624     "," 3,367     "," 4,257     "," 1,069     "," 6,555     ", 5.85     , 5.84     , 5.86     ,
PRAHOVA," 6,517     "," 3,321     "," 3,196     "," 2,404     "," 4,113     ", 2.44     , 2.97     , 2.07     ,
SALAJ," 5,384     "," 2,322     "," 3,062     ", 833     ," 4,551     ", 5.96     , 5.98     , 5.93     ,
SATU MARE," 6,083     "," 2,897     "," 3,186     ", 743     ," 5,340     ", 4.74     , 4.93     , 4.59     ,
SIBIU," 5,199     "," 2,467     "," 2,732     ", 960     ," 4,239     ", 2.74     , 2.99     , 2.54     ,
