JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,4987,336,853,1572,959,51,859,357
ARAD,2926,764,397,837,399,28,302,199
ARGES,8185,426,2300,2795,1009,90,1267,298
BACAU,6091,562,1134,2428,696,41,1011,219
BIHOR,4820,658,1484,1266,634,53,425,300
BISTRITA,4512,330,651,1622,961,32,727,189
BOTOSANI,4430,147,859,2107,533,29,665,90
BRAILA,4298,607,1074,1694,304,52,455,112
BRASOV,6360,730,1791,2523,534,46,423,313
BUZAU,7305,764,1797,2691,779,59,1101,114
CALARASI,4127,504,1134,1481,488,42,416,62
CARAS,2891,294,481,879,650,31,384,172
CLUJ,4876,878,869,1220,664,97,728,420
CONSTANTA,4345,676,933,1197,797,42,435,265
COVASNA,3163,509,1380,688,291,29,222,44
DAMBOVITA,5219,417,1339,1837,794,46,639,147
DOLJ,18472,1393,5477,6835,2374,81,2004,308
GALATI,9302,1154,2195,3815,755,52,1071,260
GIURGIU,1962,236,384,838,297,10,154,43
GORJ,4159,0,595,1347,952,57,971,237
HARGHITA,5534,1157,1692,1345,646,43,522,129
HUNEDOARA,7580,569,1086,2089,2012,132,1112,580
IALOMITA,4164,420,1002,1705,382,28,589,38
IASI,9902,549,2300,3540,733,58,2428,294
ILFOV,981,104,224,302,147,6,102,96
MARAMURES,4298,314,980,1205,710,79,746,264
MEHEDINTI,6662,633,1204,2905,1038,44,729,109
MUN. BUC.,10259,17,69,1729,3369,233,1934,2908
MURES,7155,1031,2787,1918,547,55,634,183
NEAMT,8371,633,1538,3136,918,68,1845,233
OLT,7300,675,912,3133,1125,51,1280,124
PRAHOVA,6597,481,1246,1997,1034,96,1396,347
SALAJ,5072,684,1644,1500,501,32,583,128
SATU M.,5835,1001,2315,1713,330,22,367,87
SIBIU,4918,532,1984,1151,423,31,560,237
SUCEAVA,11677,933,2810,4363,1361,87,1814,309
TELEORMAN,9852,982,1284,5451,1023,38,979,95
TIMIS,2865,504,260,705,557,41,390,408
TULCEA,2483,0,382,1196,450,0,384,71
VALCEA,3010,47,192,708,939,69,795,260
VASLUI,9399,431,2088,4441,919,34,1404,82
VRANCEA,2565,138,701,976,351,42,279,78
Total general,248909,23220,55827,86880,34385,2257,35131,11209
