JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5421,406,1041,1638,1091,50,900,295
ARAD,3162,796,415,871,510,38,288,244
ARGES,8479,413,2404,2775,1161,93,1320,313
BACAU,4250,411,636,1544,630,42,754,233
BIHOR,5316,697,1575,1265,789,72,567,351
BISTRITA,4168,344,736,1279,914,54,612,229
BOTOSANI,4940,147,916,2173,716,50,798,140
BRAILA,5154,675,1228,1993,454,71,583,150
BRASOV,6800,788,2105,2459,616,43,490,299
BUZAU,7150,2151,214,2504,967,58,1130,126
CALARASI,4631,543,1610,1557,479,17,373,52
CARAS,3140,324,524,902,746,51,415,178
CLUJ,5014,869,981,1227,728,100,686,423
CONSTANTA,5880,820,1217,1579,1101,75,720,368
COVASNA,3948,587,1746,780,432,32,305,66
DAMBOVITA,6010,505,1608,2045,913,66,708,165
DOLJ,20406,1523,5806,7500,2854,117,2194,412
GALATI,9446,1064,2133,3815,937,72,1153,272
GIURGIU,1878,210,367,816,281,16,134,54
GORJ,4841,308,350,1438,1285,108,1071,281
HARGHITA,6385,1199,1822,1501,932,71,665,195
HUNEDOARA,6899,568,1050,1832,1763,138,975,573
IALOMITA,4633,518,1125,1847,440,30,615,58
IASI,10074,549,2229,3510,846,82,2469,389
ILFOV,872,87,191,243,161,3,94,93
MARAMURES,4147,328,840,1014,915,105,684,261
MEHEDINTI,7212,693,1318,3069,1165,83,752,132
MUN. BUC.,9102,9,37,1319,3491,217,1617,2412
MURES,6160,763,2290,1465,681,66,659,236
NEAMT,8603,618,1587,3174,969,78,1956,221
OLT,7932,749,950,3314,1325,85,1332,177
PRAHOVA,6559,456,1120,1955,1146,87,1400,395
SALAJ,5535,780,1825,1630,545,45,564,146
SATU M.,6310,1089,2437,1883,391,22,395,93
SIBIU,5493,568,2230,1251,534,35,597,278
SUCEAVA,12989,990,3258,4682,1636,120,1894,409
TELEORMAN,10070,1157,1187,5406,1140,66,991,123
TIMIS,3638,573,403,805,808,42,482,525
TULCEA,2861,0,394,1309,630,0,440,88
VALCEA,3631,47,342,872,1136,80,894,260
VASLUI,9971,444,2151,4682,1034,49,1521,90
VRANCEA,2401,116,599,845,409,58,267,107
Total general,261511,25882,56997,87768,39701,2787,36464,11912
