JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,4997,2440,2557,1652,907,745,3345,1533,1812,
 ARAD,2829,1453,1376,929,520,409,1900,933,967,
 ARGES,8197,3843,4354,1071,644,427,7126,3199,3927,
 BACAU,6208,2647,3561,1726,823,903,4482,1824,2658,
 BIHOR,4703,2478,2225,1186,736,450,3517,1742,1775,
 BISTRITA-NASAUD,4564,2183,2381,1405,746,659,3159,1437,1722,
 BOTOSANI,4585,2044,2541,1203,664,539,3382,1380,2002,
 BRAILA,4252,1800,2452,967,543,424,3285,1257,2028,
 BRASOV,6395,2929,3466,1608,855,753,4787,2074,2713,
 BUZAU,7350,3130,4220,1275,666,609,6075,2464,3611,
 CALARASI,4103,1916,2187,970,506,464,3133,1410,1723,
 CARAS-SEVERIN,2883,1337,1546,1192,587,605,1691,750,941,
 CLUJ,4864,2457,2407,1866,1160,706,2998,1297,1701,
 CONSTANTA,4731,2763,1968,1930,1325,605,2801,1438,1363,
 COVASNA,3103,1443,1660,871,459,412,2232,984,1248,
 DAMBOVITA,5151,2569,2582,861,498,363,4290,2071,2219,
 DOLJ,18380,8311,10069,2339,1281,1058,16041,7030,9011,
 GALATI,8414,3561,4853,1366,757,609,7048,2804,4244,
 GIURGIU,2070,1060,1010,335,210,125,1735,850,885,
 GORJ,4086,2100,1986,1206,746,460,2880,1354,1526,
 HARGHITA,5571,2642,2929,1562,863,699,4009,1779,2230,
 HUNEDOARA,7513,4147,3366,4786,2729,2057,2727,1418,1309,
 IALOMITA,4095,1911,2184,944,520,424,3151,1391,1760,
 IASI,9731,4236,5495,1177,621,556,8554,3615,4939,
 ILFOV,1013,629,384,216,145,71,797,484,313,
 MARAMURES,4361,2182,2179,1965,1017,948,2396,1165,1231,
 MEHEDINTI,6663,2903,3760,1074,565,509,5589,2338,3251,
 MURES,7428,3331,4097,1917,1031,886,5511,2300,3211,
 NEAMT,8330,3608,4722,1322,713,609,7008,2895,4113,
 OLT,7415,3359,4056,1388,876,512,6027,2483,3544,
 PRAHOVA,6644,3417,3227,1930,1120,810,4714,2297,2417,
 SALAJ,5140,2233,2907,820,469,351,4320,1764,2556,
 SATU MARE,5789,2721,3068,1179,659,520,4610,2062,2548,
 SIBIU,4937,2365,2572,1322,724,598,3615,1641,1974,
 SUCEAVA,11859,5060,6799,2962,1432,1530,8897,3628,5269,
 TELEORMAN,9572,3885,5687,1608,789,819,7964,3096,4868,
 TIMIS,2910,1544,1366,1201,644,557,1709,900,809,
 TULCEA,2477,1225,1252,521,315,206,1956,910,1046,
 VALCEA,3585,1895,1690,1362,787,575,2223,1108,1115,
 VASLUI,9383,3909,5474,1187,655,532,8196,3254,4942,
 VRANCEA,2743,1329,1414,510,294,216,2233,1035,1198,
BUCURESTI,10510,6116,4394,10510,6116,4394,0,0,0,
Total TARA ,249534,117111,132423,67421,37717,29704,182113,79394,102719,
