JUDET; Numar total someri ; Numar total someri femei  ; Numar total someri barbati  ; Numar  someri indemnizati  ; Numar someri neindemnizati ;  Rata somajului (%)  ;  Rata somajului Feminina (%)  ;  Rata somajului Masculina (%)  ;
ALBA ; 5.668     ; 2.759     ; 2.909     ; 1.785     ; 3.883     ; 3,69     ; 3,90     ; 3,51     ;
ARAD; 3.636     ; 1.818     ; 1.818     ; 1.259     ; 2.377     ; 1,89     ; 2,16     ; 1,68     ;
ARGES; 8.818     ; 4.056     ; 4.762     ; 1.994     ; 6.824     ; 3,81     ; 3,75     ; 3,85     ;
BACAU; 3.757     ; 1.739     ; 2.018     ; 1.452     ; 2.305     ; 2,00     ; 2,14     ; 1,89     ;
BIHOR; 5.473     ; 2.677     ; 2.796     ; 1.967     ; 3.506     ; 2,32     ; 2,55     ; 2,13     ;
BISTRITA NASAUD; 3.954     ; 1.829     ; 2.125     ; 1.626     ; 2.328     ; 3,49     ; 3,73     ; 3,32     ;
BOTOSANI; 4.671     ; 2.015     ; 2.656     ; 911     ; 3.760     ; 4,25     ; 3,97     ; 4,48     ;
BRAILA; 5.526     ; 2.397     ; 3.129     ; 942     ; 4.584     ; 5,12     ; 4,85     ; 5,35     ;
BRASOV; 7.136     ; 3.157     ; 3.979     ; 1.074     ; 6.062     ; 2,76     ; 2,85     ; 2,69     ;
BUZAU; 6.367     ; 2.889     ; 3.478     ; 1.374     ; 4.993     ; 4,44     ; 4,46     ; 4,43     ;
CALARASI; 4.565     ; 2.216     ; 2.349     ; 458     ; 4.107     ; 5,98     ; 6,26     ; 5,74     ;
CARA?-SEVERIN; 3.266     ; 1.506     ; 1.760     ; 1.163     ; 2.103     ; 3,57     ; 3,94     ; 3,31     ;
CLUJ; 5.241     ; 2.641     ; 2.600     ; 1.420     ; 3.821     ; 1,46     ; 1,67     ; 1,29     ;
CONSTANTA; 6.447     ; 3.822     ; 2.625     ; 2.846     ; 3.601     ; 2,33     ; 3,14     ; 1,70     ;
COVASNA; 3.911     ; 1.741     ; 2.170     ; 670     ; 3.241     ; 4,94     ; 4,82     ; 5,03     ;
DAMBOVITA; 6.426     ; 3.032     ; 3.394     ; 1.228     ; 5.198     ; 3,94     ; 4,45     ; 3,58     ;
DOLJ; 20.340     ; 9.233     ; 11.107     ; 1.775     ; 18.565     ; 8,85     ; 9,05     ; 8,69     ;
GALATI; 10.512     ; 4.326     ; 6.186     ; 1.392     ; 9.120     ; 6,34     ; 5,70     ; 6,87     ;
