JUDET; Numar total someri ; Numar total someri femei  ; Numar total someri barbati  ; Numar  someri indemnizati  ; Numar someri neindemnizati ;  Rata somajului (%)  ;  Rata somajului Feminina (%)  ;  Rata somajului Masculina (%)  ;
GIURGIU; 1.942     ; 966     ; 976     ; 380     ; 1.562     ; 2,87     ; 3,22     ; 2,60     ;
GORJ; 4.773     ; 2.450     ; 2.323     ; 1.372     ; 3.401     ; 4,02     ; 4,54     ; 3,60     ;
HARGHITA; 6.424     ; 3.014     ; 3.410     ; 1.523     ; 4.901     ; 5,35     ; 5,93     ; 4,92     ;
HUNEDOARA; 6.711     ; 3.724     ; 2.987     ; 1.871     ; 4.840     ; 4,38     ; 5,19     ; 3,67     ;
IALOMITA; 4.714     ; 2.110     ; 2.604     ; 890     ; 3.824     ; 6,02     ; 6,12     ; 5,95     ;
IASI; 9.913     ; 4.501     ; 5.412     ; 1.494     ; 8.419     ; 3,58     ; 3,56     ; 3,61     ;
ILFOV; 989     ; 605     ; 384     ; 390     ; 599     ; 0,45     ; 0,66     ; 0,30     ;
MARAMURES; 4.758     ; 2.386     ; 2.372     ; 1.663     ; 3.095     ; 2,70     ; 3,00     ; 2,45     ;
MEHEDINTI; 7.481     ; 3.245     ; 4.236     ; 857     ; 6.624     ; 8,88     ; 8,61     ; 9,11     ;
MUN. BUC.; 7.924     ; 4.531     ; 3.393     ; 1.531     ; 6.393     ; 0,63     ; 0,70     ; 0,55     ;
MURES; 6.580     ; 2.924     ; 3.656     ; 1.353     ; 5.227     ; 3,15     ; 3,23     ; 3,09     ;
NEAMT; 8.947     ; 3.798     ; 5.149     ; 1.497     ; 7.450     ; 5,89     ; 5,65     ; 6,09     ;
OLT; 8.099     ; 3.530     ; 4.569     ; 1.193     ; 6.906     ; 6,22     ; 6,12     ; 6,29     ;
PRAHOVA; 6.300     ; 3.246     ; 3.054     ; 2.526     ; 3.774     ; 2,36     ; 2,90     ; 1,97     ;
SALAJ; 5.585     ; 2.377     ; 3.208     ; 777     ; 4.808     ; 6,18     ; 6,13     ; 6,22     ;
SATU MARE; 6.857     ; 3.267     ; 3.590     ; 811     ; 6.046     ; 5,35     ; 5,56     ; 5,17     ;
SIBIU; 5.870     ; 2.752     ; 3.118     ; 1.179     ; 4.691     ; 3,09     ; 3,34     ; 2,90     ;
SUCEAVA; 13.493     ; 5.694     ; 7.799     ; 3.142     ; 10.351     ; 6,89     ; 6,47     ; 7,23     ;
TELEORMAN; 10.591     ; 4.198     ; 6.393     ; 1.216     ; 9.375     ; 9,85     ; 8,41     ; 11,10     ;
TIMIS; 3.369     ; 1.797     ; 1.572     ; 1.761     ; 1.608     ; 1,01     ; 1,23     ; 0,83     ;
TULCEA; 2.729     ; 1.354     ; 1.375     ; 813     ; 1.916     ; 3,76     ; 4,05     ; 3,52     ;
VALCEA; 3.628     ; 1.761     ; 1.867     ; 1.421     ; 2.207     ; 2,58     ; 2,80     ; 2,40     ;
VASLUI; 10.146     ; 4.226     ; 5.920     ; 1.073     ; 9.073     ; 9,46     ; 8,27     ; 10,53     ;
VRANCEA; 2.332     ; 1.126     ; 1.206     ; 697     ; 1.635     ; 2,08     ; 2,20     ; 1,98     ;
Total ; 265.869     ; 123.435     ; 142.434     ; 56.766     ; 209.103     ; 3,33     ; 3,41     ; 3,27     ;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
