judet ;TOTAL ;Sub 25 ani;25 - 29 ani;30 - 39 ani;40 - 49 ani;50 - 55 ani;peste 55 ani
ALBA;5652;470;367;1174;1460;1067;1114
ARAD;3526;239;161;597;931;758;840
ARGES;8939;611;487;1696;2307;1824;2014
BACAU;3982;275;156;580;1045;908;1018
BIHOR;5609;470;387;1138;1464;912;1238
BISTRITA NASAUD;3940;338;225;701;925;654;1097
BOTOSANI;4915;283;195;745;1281;1140;1271
BRAILA;5494;407;243;844;1463;919;1618
BRASOV;7135;853;572;1662;1703;1139;1206
BUZAU;6473;414;227;864;1562;1614;1792
CALARASI;4674;347;267;1007;1233;860;960
CARAS-SEVERIN;3317;253;159;563;795;664;883
CLUJ;5305;589;349;1060;1313;976;1018
CONSTANTA;6478;347;233;988;1696;1134;2080
COVASNA;3984;674;316;821;986;647;540
DAMBOVITA;6420;502;362;1192;1638;1216;1510
DOLJ;20771;1754;1389;4138;5194;3925;4371
GALATI;10663;726;509;1597;2802;1972;3057
GIURGIU;2008;163;116;405;517;368;439
GORJ;4727;300;231;760;1169;1051;1216
HARGHITA;6692;1029;508;1394;1582;1105;1074
HUNEDOARA;6964;662;493;1240;1691;1442;1436
IALOMITA;4782;315;203;805;1239;838;1382
IASI;10176;643;488;1646;2855;1770;2774
ILFOV;956;74;52;202;244;176;208
MARAMURES;4570;496;298;991;1189;796;800
MEHEDINTI;7484;421;364;1139;2000;1620;1940
MUNICIPIUL BUCURESTI;8158;247;596;2090;1895;1772;1558
MURES;6829;904;535;1506;1721;924;1239
NEAMT;8921;564;388;1422;2425;1953;2169
OLT;7719;705;578;1145;1809;1651;1831
PRAHOVA;6474;425;275;1033;1702;1473;1566
SALAJ;5671;863;453;1293;1384;849;829
SATU-MARE;6696;937;479;1450;1800;1029;1001
SIBIU;5796;593;450;1391;1443;788;1131
SUCEAVA;13446;1483;888;2726;3564;1960;2825
TELEORMAN;10531;807;539;1830;2742;2081;2532
TIMIS;3430;161;161;624;971;598;915
TULCEA;2769;160;281;487;595;618;628
VALCEA;3720;286;217;585;954;829;849
VASLUI ;10183;366;322;1445;2864;2528;2658
VRANCEA;2414;181;95;408;542;564;624
TOTAL;268393;22337;15614;49384;68695;51112;61251
