JUDET; Numar total someri ; Numar total someri femei  ; Numar total someri barbati  ; Numar  someri indemnizati  ; Numar someri neindemnizati ;  Rata somajului (%)  ;  Rata somajului Feminina (%)  ;  Rata somajului Masculina (%)  ;
ALBA ; 5.530     ; 2.702     ; 2.828     ; 1.649     ; 3.881     ; 3,60     ; 3,82     ; 3,41     ;
ARAD; 3.592     ; 1.769     ; 1.823     ; 1.224     ; 2.368     ; 1,87     ; 2,10     ; 1,68     ;
ARGES; 8.651     ; 3.991     ; 4.660     ; 1.887     ; 6.764     ; 3,73     ; 3,69     ; 3,77     ;
BACAU; 3.383     ; 1.585     ; 1.798     ; 1.339     ; 2.044     ; 1,80     ; 1,95     ; 1,68     ;
BIHOR; 5.051     ; 2.527     ; 2.524     ; 1.869     ; 3.182     ; 2,14     ; 2,40     ; 1,92     ;
BISTRITA NASAUD; 3.691     ; 1.724     ; 1.967     ; 1.528     ; 2.163     ; 3,26     ; 3,51     ; 3,07     ;
BOTOSANI; 4.160     ; 1.825     ; 2.335     ; 758     ; 3.402     ; 3,78     ; 3,60     ; 3,94     ;
BRAILA; 5.355     ; 2.308     ; 3.047     ; 782     ; 4.573     ; 4,96     ; 4,67     ; 5,21     ;
BRASOV; 6.815     ; 3.033     ; 3.782     ; 1.045     ; 5.770     ; 2,64     ; 2,73     ; 2,56     ;
BUZAU; 5.889     ; 2.621     ; 3.268     ; 1.219     ; 4.670     ; 4,11     ; 4,04     ; 4,16     ;
CALARASI; 4.295     ; 2.092     ; 2.203     ; 388     ; 3.907     ; 5,63     ; 5,91     ; 5,39     ;
CARA?-SEVERIN; 3.090     ; 1.417     ; 1.673     ; 1.120     ; 1.970     ; 3,38     ; 3,71     ; 3,14     ;
CLUJ; 5.089     ; 2.552     ; 2.537     ; 1.308     ; 3.781     ; 1,42     ; 1,62     ; 1,26     ;
CONSTANTA; 5.093     ; 2.663     ; 2.430     ; 1.551     ; 3.542     ; 1,84     ; 2,19     ; 1,57     ;
COVASNA; 3.837     ; 1.605     ; 2.232     ; 559     ; 3.278     ; 4,84     ; 4,45     ; 5,18     ;
DAMBOVITA; 6.344     ; 3.006     ; 3.338     ; 1.233     ; 5.111     ; 3,89     ; 4,41     ; 3,52     ;
DOLJ; 19.604     ; 8.881     ; 10.723     ; 1.652     ; 17.952     ; 8,53     ; 8,71     ; 8,39     ;
GALATI; 10.399     ; 4.238     ; 6.161     ; 1.298     ; 9.101     ; 6,27     ; 5,58     ; 6,85     ;
GIURGIU; 1.510     ; 787     ; 723     ; 324     ; 1.186     ; 2,23     ; 2,62     ; 1,92     ;
GORJ; 4.567     ; 2.404     ; 2.163     ; 1.356     ; 3.211     ; 3,85     ; 4,45     ; 3,35     ;
HARGHITA; 6.126     ; 2.991     ; 3.135     ; 1.390     ; 4.736     ; 5,10     ; 5,89     ; 4,52     ;
HUNEDOARA; 6.574     ; 3.623     ; 2.951     ; 1.709     ; 4.865     ; 4,29     ; 5,05     ; 3,63     ;
IALOMITA; 4.446     ; 2.009     ; 2.437     ; 711     ; 3.735     ; 5,68     ; 5,82     ; 5,56     ;
IASI; 9.481     ; 4.369     ; 5.112     ; 1.431     ; 8.050     ; 3,43     ; 3,45     ; 3,41     ;
ILFOV; 947     ; 607     ; 340     ; 396     ; 551     ; 0,43     ; 0,66     ; 0,27     ;
MARAMURES; 4.819     ; 2.413     ; 2.406     ; 1.577     ; 3.242     ; 2,73     ; 3,04     ; 2,49     ;
MEHEDINTI; 7.229     ; 3.119     ; 4.110     ; 812     ; 6.417     ; 8,59     ; 8,27     ; 8,84     ;
MUN. BUC.; 7.745     ; 4.427     ; 3.318     ; 1.538     ; 6.207     ; 0,61     ; 0,69     ; 0,53     ;
MURES; 6.327     ; 2.804     ; 3.523     ; 1.275     ; 5.052     ; 3,03     ; 3,09     ; 2,97     ;
NEAMT; 8.889     ; 3.756     ; 5.133     ; 1.363     ; 7.526     ; 5,86     ; 5,59     ; 6,07     ;
OLT; 7.823     ; 3.444     ; 4.379     ; 1.055     ; 6.768     ; 6,00     ; 5,97     ; 6,03     ;
PRAHOVA; 6.244     ; 3.271     ; 2.973     ; 2.597     ; 3.647     ; 2,34     ; 2,92     ; 1,92     ;
SALAJ; 5.347     ; 2.294     ; 3.053     ; 726     ; 4.621     ; 5,91     ; 5,91     ; 5,92     ;
SATU MARE; 6.613     ; 3.168     ; 3.445     ; 717     ; 5.896     ; 5,16     ; 5,39     ; 4,96     ;
SIBIU; 5.772     ; 2.708     ; 3.064     ; 1.111     ; 4.661     ; 3,04     ; 3,28     ; 2,85     ;
SUCEAVA; 12.562     ; 5.441     ; 7.121     ; 2.668     ; 9.894     ; 6,41     ; 6,18     ; 6,60     ;
TELEORMAN; 10.091     ; 4.049     ; 6.042     ; 1.140     ; 8.951     ; 9,39     ; 8,11     ; 10,49     ;
TIMIS; 3.256     ; 1.774     ; 1.482     ; 1.697     ; 1.559     ; 0,97     ; 1,22     ; 0,78     ;
TULCEA; 2.637     ; 1.309     ; 1.328     ; 693     ; 1.944     ; 3,64     ; 3,92     ; 3,40     ;
VALCEA; 3.595     ; 1.699     ; 1.896     ; 1.291     ; 2.304     ; 2,55     ; 2,70     ; 2,44     ;
VASLUI; 9.913     ; 4.089     ; 5.824     ; 917     ; 8.996     ; 9,24     ; 8,00     ; 10,36     ;
VRANCEA; 2.213     ; 1.066     ; 1.147     ; 660     ; 1.553     ; 1,97     ; 2,08     ; 1,88     ;
Total ; 254.594     ; 118.160     ; 136.434     ; 51.563     ; 203.031     ; 3,19     ; 3,26     ; 3,13     ;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
