judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5327,448,316,1059,1367,1024,1113
ARAD,3100,230,118,499,824,680,749
ARGES,8300,618,475,1595,2135,1652,1825
BACAU,4428,385,180,628,1109,958,1168
BIHOR,5145,508,315,1019,1320,836,1147
BISTRITA NASAUD,4310,533,233,645,951,715,1233
BOTOSANI,4938,414,193,779,1333,1071,1148
BRAILA,5066,432,225,791,1310,852,1456
BRASOV,6475,761,479,1557,1583,1027,1068
BUZAU,7167,573,240,955,1738,1731,1930
CALARASI,4566,441,261,946,1166,838,914
CARAS-SEVERIN,3053,296,137,498,736,611,775
CLUJ,4905,583,321,975,1204,856,966
CONSTANTA,5060,334,181,823,1315,846,1561
COVASNA,3877,759,281,780,915,598,544
DAMBOVITA,5765,621,276,1054,1390,1119,1305
DOLJ,19797,1835,1295,3879,4900,3762,4126
GALATI,9265,690,431,1396,2500,1706,2542
GIURGIU,1934,184,90,394,486,359,421
GORJ,4636,453,179,738,1057,1047,1162
HARGHITA,6076,1104,462,1258,1402,906,944
HUNEDOARA,6962,805,528,1228,1583,1431,1387
IALOMITA,4592,433,216,809,1167,735,1232
IASI,9719,697,464,1615,2686,1614,2643
ILFOV,830,50,39,161,208,176,196
MARAMURES,4163,544,243,862,1072,722,720
MEHEDINTI,7011,466,318,989,1865,1509,1864
MUNICIPIUL BUCURESTI,9501,316,639,2068,2391,2192,1895
MURES,6008,868,437,1265,1520,794,1124
NEAMT,8500,591,353,1357,2275,1827,2097
OLT,7624,705,517,1181,1733,1582,1906
PRAHOVA,6517,662,260,1045,1672,1450,1428
SALAJ,5384,847,424,1227,1296,802,788
SATU-MARE,6083,817,422,1367,1664,922,891
SIBIU,5199,567,410,1237,1330,673,982
SUCEAVA,12657,1657,848,2570,3268,1807,2507
TELEORMAN,9467,774,470,1620,2445,1832,2326
TIMIS,3535,357,171,620,950,558,879
TULCEA,2610,202,232,443,538,590,605
VALCEA,3483,364,179,548,793,813,786
VASLUI ,9899,382,310,1430,2781,2477,2519
VRANCEA,2410,239,93,415,540,534,589
TOTAL,255344,24545,14261,46325,64518,48234,57461
