judet ;TOTAL ;Sub 25 ani;25 - 29 ani;30 - 39 ani;40 - 49 ani;50 - 55 ani;peste 55 ani
ALBA;5578;411;367;1162;1430;1054;1154
ARAD;3582;220;159;601;930;791;881
ARGES;8637;535;470;1657;2185;1765;2025
BACAU;3404;190;144;499;918;772;881
BIHOR;5222;361;341;1037;1336;874;1273
BISTRITA NASAUD;3775;225;211;661;869;638;1171
BOTOSANI;4401;192;165;654;1142;1057;1191
BRAILA;5371;347;240;830;1417;901;1636
BRASOV;6971;805;553;1631;1692;1102;1188
BUZAU;6115;281;193;786;1504;1578;1773
CALARASI;4412;307;251;915;1151;848;940
CARAS-SEVERIN;3184;190;146;521;777;664;886
CLUJ;5084;519;327;1035;1273;907;1023
CONSTANTA;5623;293;217;901;1430;943;1839
COVASNA;3853;562;308;834;960;626;563
DAMBOVITA;6277;447;348;1203;1587;1154;1538
DOLJ;19853;1527;1332;3864;4949;3817;4364
GALATI;10424;611;484;1544;2778;1978;3029
GIURGIU;1895;138;95;380;469;357;456
GORJ;4609;252;215;737;1130;1061;1214
HARGHITA;6220;892;480;1288;1526;988;1046
HUNEDOARA;6627;603;455;1186;1584;1365;1434
IALOMITA;4510;285;202;784;1140;772;1327
IASI;9611;488;409;1518;2720;1726;2750
ILFOV;957;81;71;194;247;166;198
MARAMURES;4660;463;300;989;1218;839;851
MEHEDINTI;7306;352;325;1141;1971;1599;1918
MUNICIPIUL BUCURESTI;7823;226;593;2024;1833;1623;1524
MURES;6291;793;460;1390;1552;869;1227
NEAMT;8947;499;377;1388;2440;1977;2266
OLT;8006;628;682;1199;1840;1750;1907
PRAHOVA;6411;370;295;1028;1742;1470;1506
SALAJ;5470;752;440;1249;1340;870;819
SATU-MARE;6681;911;497;1438;1769;1048;1018
SIBIU;5756;543;445;1385;1466;776;1141
SUCEAVA;12928;1279;863;2629;3509;1853;2795
TELEORMAN;10483;747;519;1805;2678;2104;2630
TIMIS;3283;141;146;585;890;605;916
TULCEA;2674;126;141;453;627;630;697
VALCEA;3533;169;175;553;947;811;878
VASLUI ;10019;360;312;1403;2797;2488;2659
VRANCEA;2272;142;98;377;510;535;610
TOTAL;258738;19263;14851;47458;66273;49751;61142
