JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5085,375,925,1594,950,49,860,332
ARAD,3083,807,409,879,437,28,304,219
ARGES,8138,416,2300,2727,1010,95,1265,325
BACAU,5407,503,1003,2128,628,36,892,217
BIHOR,4697,662,1480,1173,607,56,426,293
BISTRITA,4364,337,684,1483,953,34,686,187
BOTOSANI,4642,136,835,2034,727,33,769,108
BRAILA,4667,651,1142,1822,370,54,502,126
BRASOV,6499,773,1932,2492,518,49,419,316
BUZAU,7042,721,1755,2564,744,46,1101,111
CALARASI,4293,507,1143,1530,558,42,439,74
CARAS,2852,306,469,881,624,34,370,168
CLUJ,4714,867,866,1175,632,85,690,399
CONSTANTA,4254,711,1002,1107,714,36,436,248
COVASNA,3565,539,1567,730,405,26,248,50
DAMBOVITA,5250,413,1359,1899,766,44,628,141
DOLJ,18919,1410,5472,6998,2582,85,2056,316
GALATI,9356,1159,2228,3817,745,49,1112,246
GIURGIU,1861,193,350,740,394,12,133,39
GORJ,4302,275,298,1322,1115,73,989,230
HARGHITA,5516,1116,1667,1364,671,39,532,127
HUNEDOARA,7372,567,1077,2021,1936,130,1068,573
IALOMITA,4361,438,1015,1752,486,30,591,49
IASI,9970,557,2261,3553,821,55,2389,334
ILFOV,921,90,206,263,149,8,106,99
MARAMURES,4069,303,871,1159,710,70,705,251
MEHEDINTI,6674,636,1205,2933,1023,52,724,101
MUN. BUC.,9985,9,52,1577,3592,225,1905,2625
MURES,6731,1006,2465,1726,669,63,620,182
NEAMT,7927,606,1479,2902,900,69,1739,232
OLT,7368,690,888,3145,1056,87,1272,230
PRAHOVA,6397,459,1195,1909,1028,97,1365,344
SALAJ,5027,690,1667,1489,454,30,557,140
SATU M.,5897,1024,2324,1724,347,27,368,83
SIBIU,5190,552,2079,1193,521,31,569,245
SUCEAVA,11982,934,3016,4476,1408,90,1755,303
TELEORMAN,9931,1120,1177,5521,1012,39,960,102
TIMIS,3285,530,280,735,876,45,406,413
TULCEA,2503,0,381,1181,493,0,375,73
VALCEA,2500,14,100,469,878,68,702,269
VASLUI,9744,439,2128,4572,978,42,1502,83
VRANCEA,2427,123,668,918,333,34,272,79
Total general,248767,23664,55420,85677,35820,2297,34807,11082
