judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5421,492,336,1084,1378,1018,1113
ARAD,3162,234,139,516,831,665,777
ARGES,8479,635,475,1626,2185,1654,1904
BACAU,4250,376,167,624,1061,930,1092
BIHOR,5316,515,329,1053,1356,861,1202
BISTRITA NASAUD,4168,482,210,643,905,711,1217
BOTOSANI,4940,416,205,783,1291,1091,1154
BRAILA,5154,424,231,804,1341,856,1498
BRASOV,6800,829,525,1641,1627,1058,1120
BUZAU,7150,553,258,960,1711,1699,1969
CALARASI,4631,436,271,962,1188,850,924
CARAS-SEVERIN,3140,284,151,517,773,617,798
CLUJ,5014,629,325,988,1242,878,952
CONSTANTA,5880,354,201,916,1576,1024,1809
COVASNA,3948,754,297,805,934,598,560
DAMBOVITA,6010,609,295,1090,1447,1174,1395
DOLJ,20406,1887,1351,4023,5094,3872,4179
GALATI,9446,689,407,1344,2528,1763,2715
GIURGIU,1878,170,90,391,463,342,422
GORJ,4841,450,207,769,1123,1085,1207
HARGHITA,6385,1137,493,1322,1477,966,990
HUNEDOARA,6899,774,512,1251,1583,1401,1378
IALOMITA,4633,423,220,801,1191,744,1254
IASI,10074,747,484,1677,2785,1648,2733
ILFOV,872,57,35,168,235,182,195
MARAMURES,4147,568,240,865,1041,715,718
MEHEDINTI,7212,459,336,1057,1913,1549,1898
MUNICIPIUL BUCURESTI,9102,298,639,2156,2179,2077,1753
MURES,6160,884,449,1321,1548,823,1135
NEAMT,8603,617,358,1357,2322,1852,2097
OLT,7932,924,754,1214,1688,1572,1780
PRAHOVA,6559,619,284,1052,1660,1445,1499
SALAJ,5535,893,437,1246,1346,807,806
SATU-MARE,6310,872,455,1407,1719,959,898
SIBIU,5493,612,426,1303,1387,728,1037
SUCEAVA,12989,1718,864,2650,3380,1812,2565
TELEORMAN,10070,796,490,1734,2588,1966,2496
TIMIS,3638,328,175,639,1005,570,921
TULCEA,2861,198,202,488,646,689,638
VALCEA,3631,381,197,564,877,814,798
VASLUI ,9971,388,315,1414,2809,2507,2538
VRANCEA,2401,249,100,414,532,533,573
TOTAL,261511,25160,14935,47639,65965,49105,58707
