JUDET; Numar total someri ; Numar total someri femei  ; Numar total someri barbati  ; Numar  someri indemnizati  ; Numar someri neindemnizati ;  Rata somajului (%)  ;  Rata somajului Feminina (%)  ;  Rata somajului Masculina (%)  ;
ALBA ; 5.578     ; 2.703     ; 2.875     ; 1.682     ; 3.896     ; 3,63     ; 3,82     ; 3,47     ;
ARAD; 3.582     ; 1.779     ; 1.803     ; 1.249     ; 2.333     ; 1,86     ; 2,12     ; 1,66     ;
ARGES; 8.637     ; 3.938     ; 4.699     ; 1.877     ; 6.760     ; 3,73     ; 3,64     ; 3,80     ;
BACAU; 3.404     ; 1.599     ; 1.805     ; 1.334     ; 2.070     ; 1,81     ; 1,97     ; 1,69     ;
BIHOR; 5.222     ; 2.576     ; 2.646     ; 1.889     ; 3.333     ; 2,21     ; 2,45     ; 2,02     ;
BISTRITA NASAUD; 3.775     ; 1.762     ; 2.013     ; 1.506     ; 2.269     ; 3,33     ; 3,59     ; 3,14     ;
BOTOSANI; 4.401     ; 1.889     ; 2.512     ; 815     ; 3.586     ; 4,00     ; 3,73     ; 4,24     ;
BRAILA; 5.371     ; 2.324     ; 3.047     ; 842     ; 4.529     ; 4,98     ; 4,70     ; 5,21     ;
BRASOV; 6.971     ; 3.102     ; 3.869     ; 1.053     ; 5.918     ; 2,70     ; 2,80     ; 2,62     ;
BUZAU; 6.115     ; 2.731     ; 3.384     ; 1.305     ; 4.810     ; 4,27     ; 4,21     ; 4,31     ;
CALARASI; 4.412     ; 2.174     ; 2.238     ; 436     ; 3.976     ; 5,78     ; 6,14     ; 5,47     ;
CARA?-SEVERIN; 3.184     ; 1.510     ; 1.674     ; 1.160     ; 2.024     ; 3,48     ; 3,95     ; 3,15     ;
CLUJ; 5.084     ; 2.530     ; 2.554     ; 1.317     ; 3.767     ; 1,41     ; 1,60     ; 1,27     ;
CONSTANTA; 5.623     ; 3.062     ; 2.561     ; 2.006     ; 3.617     ; 2,03     ; 2,51     ; 1,66     ;
COVASNA; 3.853     ; 1.672     ; 2.181     ; 615     ; 3.238     ; 4,86     ; 4,63     ; 5,06     ;
DAMBOVITA; 6.277     ; 2.952     ; 3.325     ; 1.218     ; 5.059     ; 3,85     ; 4,33     ; 3,50     ;
DOLJ; 19.853     ; 8.984     ; 10.869     ; 1.729     ; 18.124     ; 8,64     ; 8,81     ; 8,50     ;
GALATI; 10.424     ; 4.223     ; 6.201     ; 1.310     ; 9.114     ; 6,28     ; 5,56     ; 6,89     ;
GIURGIU; 1.895     ; 948     ; 947     ; 346     ; 1.549     ; 2,80     ; 3,16     ; 2,52     ;
GORJ; 4.609     ; 2.391     ; 2.218     ; 1.349     ; 3.260     ; 3,89     ; 4,43     ; 3,43     ;
HARGHITA; 6.220     ; 2.946     ; 3.274     ; 1.406     ; 4.814     ; 5,18     ; 5,80     ; 4,72     ;
HUNEDOARA; 6.627     ; 3.672     ; 2.955     ; 1.758     ; 4.869     ; 4,33     ; 5,11     ; 3,63     ;
IALOMITA; 4.510     ; 2.022     ; 2.488     ; 753     ; 3.757     ; 5,76     ; 5,86     ; 5,68     ;
IASI; 9.611     ; 4.412     ; 5.199     ; 1.463     ; 8.148     ; 3,47     ; 3,49     ; 3,46     ;
ILFOV; 957     ; 595     ; 362     ; 387     ; 570     ; 0,44     ; 0,65     ; 0,29     ;
