JUDET; Numar total someri ; Numar total someri femei  ; Numar total someri barbati  ; Numar  someri indemnizati  ; Numar someri neindemnizati ;  Rata somajului (%)  ;  Rata somajului Feminina (%)  ;  Rata somajului Masculina (%)  ;
MARAMURES; 4.660     ; 2.336     ; 2.324     ; 1.613     ; 3.047     ; 2,64     ; 2,94     ; 2,40     ;
MEHEDINTI; 7.306     ; 3.174     ; 4.132     ; 827     ; 6.479     ; 8,68     ; 8,42     ; 8,89     ;
MUN. BUC.; 7.823     ; 4.477     ; 3.346     ; 1.533     ; 6.290     ; 0,62     ; 0,70     ; 0,54     ;
MURES; 6.291     ; 2.826     ; 3.465     ; 1.310     ; 4.981     ; 3,01     ; 3,12     ; 2,92     ;
NEAMT; 8.947     ; 3.797     ; 5.150     ; 1.464     ; 7.483     ; 5,89     ; 5,65     ; 6,09     ;
OLT; 8.006     ; 3.533     ; 4.473     ; 1.089     ; 6.917     ; 6,14     ; 6,12     ; 6,16     ;
PRAHOVA; 6.411     ; 3.327     ; 3.084     ; 2.638     ; 3.773     ; 2,40     ; 2,97     ; 1,99     ;
SALAJ; 5.470     ; 2.329     ; 3.141     ; 749     ; 4.721     ; 6,05     ; 6,00     ; 6,09     ;
SATU MARE; 6.681     ; 3.184     ; 3.497     ; 765     ; 5.916     ; 5,21     ; 5,41     ; 5,04     ;
SIBIU; 5.756     ; 2.716     ; 3.040     ; 1.162     ; 4.594     ; 3,03     ; 3,29     ; 2,83     ;
SUCEAVA; 12.928     ; 5.492     ; 7.436     ; 2.830     ; 10.098     ; 6,60     ; 6,24     ; 6,89     ;
TELEORMAN; 10.483     ; 4.195     ; 6.288     ; 1.196     ; 9.287     ; 9,75     ; 8,41     ; 10,92     ;
TIMIS; 3.283     ; 1.762     ; 1.521     ; 1.719     ; 1.564     ; 0,98     ; 1,21     ; 0,80     ;
TULCEA; 2.674     ; 1.308     ; 1.366     ; 745     ; 1.929     ; 3,69     ; 3,92     ; 3,49     ;
VALCEA; 3.533     ; 1.685     ; 1.848     ; 1.356     ; 2.177     ; 2,51     ; 2,67     ; 2,38     ;
VASLUI; 10.019     ; 4.135     ; 5.884     ; 973     ; 9.046     ; 9,34     ; 8,09     ; 10,47     ;
VRANCEA; 2.272     ; 1.113     ; 1.159     ; 672     ; 1.600     ; 2,03     ; 2,17     ; 1,90     ;
Total ; 258.738     ; 119.885     ; 138.853     ; 53.446     ; 205.292     ; 3,25     ; 3,31     ; 3,19     ;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
