judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4997,382,302,979,1305,1013,1016
ARAD,2829,184,116,465,782,659,623
ARGES,8197,581,468,1575,2136,1644,1793
BACAU,6208,379,272,917,1623,1381,1636
BIHOR,4703,324,316,966,1271,784,1042
BISTRITA NASAUD,4564,342,273,677,1122,890,1260
BOTOSANI,4585,216,219,885,1323,975,967
BRAILA,4252,301,198,723,1132,720,1178
BRASOV,6395,703,470,1441,1566,1056,1159
BUZAU,7350,387,273,987,1851,1856,1996
CALARASI,4103,531,187,834,1086,682,783
CARAS-SEVERIN,2883,188,160,462,734,613,726
CLUJ,4864,475,300,945,1234,913,997
CONSTANTA,4731,318,229,742,1195,765,1482
COVASNA,3103,482,226,681,761,511,442
DAMBOVITA,5151,424,299,958,1269,1075,1126
DOLJ,18380,1474,1233,3524,4752,3545,3852
GALATI,8414,516,378,1309,2336,1611,2264
GIURGIU,2070,198,147,386,555,368,416
GORJ,4086,197,173,642,1017,1016,1041
HARGHITA,5571,829,423,1218,1354,874,873
HUNEDOARA,7513,788,591,1328,1761,1626,1419
IALOMITA,4095,266,186,723,1105,714,1101
IASI,9731,543,429,1706,2827,1668,2558
ILFOV,1013,75,53,214,248,202,221
MARAMURES,4361,481,228,983,1183,781,705
MEHEDINTI,6663,374,294,983,1763,1475,1774
MUNICIPIUL BUCURESTI,10510,208,846,2381,2678,2416,1981
MURES,7428,988,630,1614,1892,952,1352
NEAMT,8330,453,351,1395,2300,1823,2008
OLT,7415,669,603,1093,1879,1544,1627
PRAHOVA,6644,508,293,1178,1790,1497,1378
SALAJ,5140,659,361,1161,1319,820,820
SATU-MARE,5789,750,433,1335,1621,855,795
SIBIU,4937,457,391,1193,1286,678,932
SUCEAVA,11859,1154,797,2513,3148,1778,2469
TELEORMAN,9572,602,498,1707,2498,1976,2291
TIMIS,2910,162,135,565,767,530,751
TULCEA,2477,177,249,371,481,589,610
VALCEA,3585,213,196,510,889,954,823
VASLUI ,9383,297,298,1388,2769,2321,2310
VRANCEA,2743,251,131,488,648,595,630
TOTAL,249534,19506,14655,46145,65256,48745,55227
