JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
DOLJ," 20,406     "," 9,313     "," 11,093     "," 1,842     "," 18,564     ", 8.88     , 9.13     , 8.68     ,
GALATI," 9,446     "," 3,875     "," 5,571     "," 1,297     "," 8,149     ", 5.69     , 5.11     , 6.19     ,
GIURGIU," 1,878     ", 929     , 949     , 409     ," 1,469     ", 2.78     , 3.10     , 2.52     ,
GORJ," 4,841     "," 2,545     "," 2,296     "," 1,472     "," 3,369     ", 4.08     , 4.71     , 3.55     ,
HARGHITA," 6,385     "," 3,120     "," 3,265     "," 1,572     "," 4,813     ", 5.32     , 6.14     , 4.71     ,
HUNEDOARA," 6,899     "," 3,803     "," 3,096     "," 1,955     "," 4,944     ", 4.50     , 5.30     , 3.80     ,
IALOMITA," 4,633     "," 2,157     "," 2,476     ", 781     ," 3,852     ", 5.92     , 6.25     , 5.65     ,
IASI," 10,074     "," 4,509     "," 5,565     "," 1,189     "," 8,885     ", 3.64     , 3.56     , 3.71     ,
ILFOV, 872     , 519     , 353     , 372     , 500     , 0.40     , 0.57     , 0.28     ,
MARAMURES," 4,147     "," 2,107     "," 2,040     "," 1,475     "," 2,672     ", 2.35     , 2.65     , 2.11     ,
MEHEDINTI," 7,212     "," 3,139     "," 4,073     ", 944     ," 6,268     ", 8.57     , 8.33     , 8.76     ,
MUN. BUC.," 9,102     "," 5,168     "," 3,934     "," 1,598     "," 7,504     ", 0.72     , 0.80     , 0.63     ,
MURES," 6,160     "," 2,882     "," 3,278     "," 1,365     "," 4,795     ", 2.95     , 3.18     , 2.77     ,
NEAMT," 8,603     "," 3,671     "," 4,932     "," 1,481     "," 7,122     ", 5.67     , 5.46     , 5.83     ,
OLT," 7,932     "," 3,448     "," 4,484     "," 1,112     "," 6,820     ", 6.09     , 5.98     , 6.18     ,
PRAHOVA," 6,559     "," 3,356     "," 3,203     "," 2,379     "," 4,180     ", 2.46     , 3.00     , 2.07     ,
SALAJ," 5,535     "," 2,386     "," 3,149     ", 845     ," 4,690     ", 6.12     , 6.15     , 6.10     ,
SATU MARE," 6,310     "," 3,013     "," 3,297     ", 759     ," 5,551     ", 4.92     , 5.12     , 4.75     ,
SIBIU," 5,493     "," 2,590     "," 2,903     "," 1,019     "," 4,474     ", 2.89     , 3.14     , 2.70     ,
SUCEAVA," 12,989     "," 5,611     "," 7,378     "," 2,908     "," 10,081     ", 6.63     , 6.38     , 6.84     ,
TELEORMAN," 10,070     "," 4,092     "," 5,978     "," 1,289     "," 8,781     ", 9.37     , 8.20     , 10.38     ,
TIMIS," 3,638     "," 1,980     "," 1,658     "," 1,924     "," 1,714     ", 1.09     , 1.36     , 0.88     ,
TULCEA," 2,861     "," 1,466     "," 1,395     ", 777     ," 2,084     ", 3.95     , 4.39     , 3.57     ,
VALCEA," 3,631     "," 1,845     "," 1,786     "," 1,626     "," 2,005     ", 2.58     , 2.93     , 2.30     ,
VASLUI," 9,971     "," 4,184     "," 5,787     "," 1,175     "," 8,796     ", 9.29     , 8.19     , 10.30     ,
VRANCEA," 2,401     "," 1,185     "," 1,216     ", 672     ," 1,729     ", 2.14     , 2.31     , 2.00     ,
Total ," 261,511     "," 122,912     "," 138,599     "," 55,728     "," 205,783     ", 3.28     , 3.40     , 3.18     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
