JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,421     "," 2,606     "," 2,815     "," 1,650     "," 3,771     ", 3.53     , 3.68     , 3.40     ,
ARAD," 3,162     "," 1,598     "," 1,564     "," 1,113     "," 2,049     ", 1.64     , 1.90     , 1.44     ,
ARGES," 8,479     "," 3,926     "," 4,553     "," 1,893     "," 6,586     ", 3.66     , 3.63     , 3.68     ,
BACAU," 4,250     "," 1,966     "," 2,284     "," 1,440     "," 2,810     ", 2.26     , 2.42     , 2.14     ,
BIHOR," 5,316     "," 2,650     "," 2,666     "," 1,849     "," 3,467     ", 2.25     , 2.52     , 2.03     ,
BISTRITA NASAUD," 4,168     "," 2,063     "," 2,105     "," 1,849     "," 2,319     ", 3.68     , 4.20     , 3.28     ,
BOTOSANI," 4,940     "," 2,242     "," 2,698     ", 956     ," 3,984     ", 4.49     , 4.42     , 4.55     ,
BRAILA," 5,154     "," 2,285     "," 2,869     ", 883     ," 4,271     ", 4.78     , 4.63     , 4.90     ,
BRASOV," 6,800     "," 3,015     "," 3,785     ", 948     ," 5,852     ", 2.63     , 2.72     , 2.56     ,
BUZAU," 7,150     "," 3,183     "," 3,967     "," 1,389     "," 5,761     ", 4.99     , 4.91     , 5.05     ,
CALARASI," 4,631     "," 2,261     "," 2,370     ", 543     ," 4,088     ", 6.07     , 6.39     , 5.79     ,
CARA?-SEVERIN," 3,140     "," 1,449     "," 1,691     "," 1,122     "," 2,018     ", 3.44     , 3.79     , 3.18     ,
CLUJ," 5,014     "," 2,496     "," 2,518     "," 1,331     "," 3,683     ", 1.40     , 1.58     , 1.25     ,
CONSTANTA," 5,880     "," 3,609     "," 2,271     "," 2,521     "," 3,359     ", 2.13     , 2.96     , 1.47     ,
COVASNA," 3,948     "," 1,817     "," 2,131     ", 688     ," 3,260     ", 4.98     , 5.03     , 4.94     ,
DAMBOVITA," 6,010     "," 2,853     "," 3,157     "," 1,316     "," 4,694     ", 3.69     , 4.19     , 3.33     ,
