JUDET; Numar total someri ; Numar total someri femei  ; Numar total someri barbati  ; Numar  someri indemnizati  ; Numar someri neindemnizati ;  Rata somajului (%)  ;  Rata somajului Feminina (%)  ;  Rata somajului Masculina (%)  ;
ALBA ; 5.652     ; 2.707     ; 2.945     ; 1.791     ; 3.861     ; 3,68     ; 3,82     ; 3,55     ;
ARAD; 3.526     ; 1.740     ; 1.786     ; 1.214     ; 2.312     ; 1,83     ; 2,07     ; 1,65     ;
ARGES; 8.939     ; 4.123     ; 4.816     ; 2.032     ; 6.907     ; 3,86     ; 3,81     ; 3,90     ;
BACAU; 3.982     ; 1.808     ; 2.174     ; 1.558     ; 2.424     ; 2,12     ; 2,22     ; 2,03     ;
BIHOR; 5.609     ; 2.738     ; 2.871     ; 1.988     ; 3.621     ; 2,37     ; 2,61     ; 2,19     ;
BISTRITA NASAUD; 3.940     ; 1.870     ; 2.070     ; 1.661     ; 2.279     ; 3,48     ; 3,81     ; 3,23     ;
BOTOSANI; 4.915     ; 2.062     ; 2.853     ; 1.011     ; 3.904     ; 4,47     ; 4,07     ; 4,81     ;
BRAILA; 5.494     ; 2.373     ; 3.121     ; 969     ; 4.525     ; 5,09     ; 4,80     ; 5,34     ;
BRASOV; 7.135     ; 3.153     ; 3.982     ; 1.041     ; 6.094     ; 2,76     ; 2,84     ; 2,70     ;
BUZAU; 6.473     ; 2.863     ; 3.610     ; 1.352     ; 5.121     ; 4,52     ; 4,42     ; 4,60     ;
CALARASI; 4.674     ; 2.257     ; 2.417     ; 492     ; 4.182     ; 6,13     ; 6,38     ; 5,91     ;
CARA?-SEVERIN; 3.317     ; 1.521     ; 1.796     ; 1.209     ; 2.108     ; 3,63     ; 3,98     ; 3,38     ;
CLUJ; 5.305     ; 2.649     ; 2.656     ; 1.448     ; 3.857     ; 1,48     ; 1,68     ; 1,32     ;
CONSTANTA; 6.478     ; 3.884     ; 2.594     ; 2.892     ; 3.586     ; 2,34     ; 3,19     ; 1,68     ;
COVASNA; 3.984     ; 1.772     ; 2.212     ; 724     ; 3.260     ; 5,03     ; 4,91     ; 5,13     ;
DAMBOVITA; 6.420     ; 3.052     ; 3.368     ; 1.239     ; 5.181     ; 3,94     ; 4,48     ; 3,55     ;
DOLJ; 20.771     ; 9.423     ; 11.348     ; 1.821     ; 18.950     ; 9,04     ; 9,24     ; 8,88     ;
GALATI; 10.663     ; 4.360     ; 6.303     ; 1.405     ; 9.258     ; 6,43     ; 5,74     ; 7,00     ;
GIURGIU; 2.008     ; 994     ; 1.014     ; 373     ; 1.635     ; 2,97     ; 3,31     ; 2,70     ;
GORJ; 4.727     ; 2.434     ; 2.293     ; 1.351     ; 3.376     ; 3,99     ; 4,51     ; 3,55     ;
HARGHITA; 6.692     ; 3.160     ; 3.532     ; 1.757     ; 4.935     ; 5,57     ; 6,22     ; 5,10     ;
HUNEDOARA; 6.964     ; 3.884     ; 3.080     ; 1.961     ; 5.003     ; 4,55     ; 5,41     ; 3,78     ;
IALOMITA; 4.782     ; 2.144     ; 2.638     ; 946     ; 3.836     ; 6,11     ; 6,21     ; 6,02     ;
IASI; 10.176     ; 4.614     ; 5.562     ; 1.543     ; 8.633     ; 3,68     ; 3,65     ; 3,71     ;
ILFOV; 956     ; 576     ; 380     ; 390     ; 566     ; 0,44     ; 0,63     ; 0,30     ;
MARAMURES; 4.570     ; 2.285     ; 2.285     ; 1.654     ; 2.916     ; 2,59     ; 2,87     ; 2,36     ;
MEHEDINTI; 7.484     ; 3.226     ; 4.258     ; 897     ; 6.587     ; 8,89     ; 8,56     ; 9,16     ;
MUN. BUC.; 8.158     ; 4.686     ; 3.472     ; 1.585     ; 6.573     ; 0,64     ; 0,73     ; 0,56     ;
MURES; 6.829     ; 3.051     ; 3.778     ; 1.372     ; 5.457     ; 3,27     ; 3,37     ; 3,19     ;
NEAMT; 8.921     ; 3.792     ; 5.129     ; 1.587     ; 7.334     ; 5,88     ; 5,64     ; 6,06     ;
OLT; 7.719     ; 3.404     ; 4.315     ; 1.212     ; 6.507     ; 5,92     ; 5,90     ; 5,94     ;
PRAHOVA; 6.474     ; 3.322     ; 3.152     ; 2.557     ; 3.917     ; 2,43     ; 2,97     ; 2,04     ;
SALAJ; 5.671     ; 2.418     ; 3.253     ; 851     ; 4.820     ; 6,27     ; 6,23     ; 6,30     ;
SATU MARE; 6.696     ; 3.177     ; 3.519     ; 861     ; 5.835     ; 5,22     ; 5,40     ; 5,07     ;
SIBIU; 5.796     ; 2.656     ; 3.140     ; 1.181     ; 4.615     ; 3,05     ; 3,22     ; 2,92     ;
SUCEAVA; 13.446     ; 5.653     ; 7.793     ; 3.183     ; 10.263     ; 6,86     ; 6,42     ; 7,22     ;
TELEORMAN; 10.531     ; 4.200     ; 6.331     ; 1.229     ; 9.302     ; 9,80     ; 8,42     ; 10,99     ;
TIMIS; 3.430     ; 1.841     ; 1.589     ; 1.823     ; 1.607     ; 1,02     ; 1,26     ; 0,84     ;
TULCEA; 2.769     ; 1.355     ; 1.414     ; 845     ; 1.924     ; 3,82     ; 4,06     ; 3,62     ;
VALCEA; 3.720     ; 1.817     ; 1.903     ; 1.487     ; 2.233     ; 2,64     ; 2,88     ; 2,45     ;
VASLUI; 10.183     ; 4.189     ; 5.994     ; 1.184     ; 8.999     ; 9,49     ; 8,20     ; 10,67     ;
VRANCEA; 2.414     ; 1.167     ; 1.247     ; 743     ; 1.671     ; 2,15     ; 2,28     ; 2,05     ;
Total ; 268.393     ; 124.400     ; 143.993     ; 58.419     ; 209.974     ; 3,37     ; 3,44     ; 3,31     ;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
