judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5246,445,309,1034,1324,1041,1093
ARAD,3087,228,110,496,809,717,727
ARGES,8141,532,466,1585,2125,1646,1787
BACAU,4854,411,198,694,1213,1048,1290
BIHOR,4934,516,288,977,1246,811,1096
BISTRITA NASAUD,4248,521,230,616,953,712,1216
BOTOSANI,4944,438,197,788,1330,1062,1129
BRAILA,5011,444,215,769,1288,851,1444
BRASOV,6383,712,477,1522,1585,1033,1054
BUZAU,7106,518,212,942,1723,1742,1969
CALARASI,4393,445,238,909,1100,832,869
CARAS-SEVERIN,2945,275,145,465,712,587,761
CLUJ,4738,514,295,947,1188,849,945
CONSTANTA,4418,314,172,755,1125,716,1336
COVASNA,3749,746,263,747,869,583,541
DAMBOVITA,5238,553,247,941,1256,1027,1214
DOLJ,19357,1765,1224,3733,4824,3750,4061
GALATI,9139,662,397,1333,2453,1724,2570
GIURGIU,1883,261,85,313,476,347,401
GORJ,4445,446,167,676,993,1018,1145
HARGHITA,5735,1017,404,1188,1334,862,930
HUNEDOARA,7214,812,529,1274,1649,1516,1434
IALOMITA,4497,439,209,810,1133,717,1189
IASI,9619,695,456,1568,2679,1615,2606
ILFOV,872,60,39,149,231,180,213
MARAMURES,4218,576,238,851,1085,743,725
MEHEDINTI,6662,391,277,922,1773,1457,1842
MUNICIPIUL BUCURESTI,9830,310,639,2164,2510,2258,1949
MURES,5985,896,405,1250,1505,816,1113
NEAMT,8311,553,350,1338,2220,1794,2056
OLT,7561,686,634,1142,1764,1535,1800
PRAHOVA,6282,611,236,1019,1634,1400,1382
SALAJ,5116,728,383,1172,1267,786,780
SATU-MARE,5815,751,398,1322,1612,880,852
SIBIU,5057,525,398,1215,1271,688,960
SUCEAVA,12412,1597,831,2503,3183,1762,2536
TELEORMAN,9389,762,461,1635,2444,1841,2246
TIMIS,3434,405,157,602,903,530,837
TULCEA,2528,209,199,427,546,609,538
VALCEA,3167,332,163,517,698,748,709
VASLUI ,9901,364,311,1414,2795,2491,2526
VRANCEA,2441,259,89,425,547,535,586
TOTAL,250305,23724,13741,45149,63375,47859,56457
