JUDET ;NUMAR TOTAL SOMERI ;NUMAR TOTAL SOMERI FEMEI  ;NUMAR TOTAL SOMERI BARBATI ;NUMAR TOTAL SOMERI DIN MEDIUL URBAN ;NUMAR SOMERI FEMEI DIN MEDIUL URBAN ;NUMAR SOMERI BARBATI DIN MEDIUL URBAN ;NUMAR TOTAL SOMERI DIN MEDIUL RURAL ;NUMAR SOMERI FEMEI DIN MEDIUL RURAL ;NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
 ALBA;5652;2707;2945;1725;906;819;3927;1801;2126
 ARAD;3526;1740;1786;1233;645;588;2293;1095;1198
 ARGES;8939;4123;4816;1373;829;544;7566;3294;4272
 BACAU;3982;1808;2174;1298;677;621;2684;1131;1553
 BIHOR;5609;2738;2871;1578;933;645;4031;1805;2226
 BISTRITA-NASAUD;3940;1870;2070;1134;596;538;2806;1274;1532
 BOTOSANI;4915;2062;2853;1255;695;560;3660;1367;2293
 BRAILA;5494;2373;3121;1301;752;549;4193;1621;2572
 BRASOV;7135;3153;3982;1915;990;925;5220;2163;3057
 BUZAU;6473;2863;3610;1144;631;513;5329;2232;3097
 CALARASI;4674;2257;2417;1104;620;484;3570;1637;1933
 CARAS-SEVERIN;3317;1521;1796;1397;689;708;1920;832;1088
 CLUJ;5305;2649;2656;1985;1222;763;3320;1427;1893
 CONSTANTA;6478;3884;2594;2622;1857;765;3856;2027;1829
 COVASNA;3984;1772;2212;1081;575;506;2903;1197;1706
 DAMBOVITA;6420;3052;3368;898;503;395;5522;2549;2973
 DOLJ;20771;9423;11348;2757;1510;1247;18014;7913;10101
 GALATI;10663;4360;6303;1651;863;788;9012;3497;5515
 GIURGIU;2008;994;1014;361;200;161;1647;794;853
 GORJ;4727;2434;2293;1447;893;554;3280;1541;1739
 HARGHITA;6692;3160;3532;1932;1039;893;4760;2121;2639
 HUNEDOARA;6964;3884;3080;4757;2717;2040;2207;1167;1040
 IALOMITA;4782;2144;2638;1176;601;575;3606;1543;2063
 IASI;10176;4614;5562;1534;852;682;8642;3762;4880
 ILFOV;956;576;380;234;139;95;722;437;285
 MARAMURES;4570;2285;2285;2117;1100;1017;2453;1185;1268
 MEHEDINTI;7484;3226;4258;1188;662;526;6296;2564;3732
 MURES;6829;3051;3778;1888;977;911;4941;2074;2867
 NEAMT;8921;3792;5129;1382;763;619;7539;3029;4510
 OLT;7719;3404;4315;1616;933;683;6103;2471;3632
 PRAHOVA;6474;3322;3152;1969;1126;843;4505;2196;2309
 SALAJ;5671;2418;3253;850;447;403;4821;1971;2850
 SATU MARE;6696;3177;3519;1436;777;659;5260;2400;2860
 SIBIU;5796;2656;3140;1660;857;803;4136;1799;2337
 SUCEAVA;13446;5653;7793;3219;1518;1701;10227;4135;6092
 TELEORMAN;10531;4200;6331;1824;852;972;8707;3348;5359
 TIMIS;3430;1841;1589;1358;779;579;2072;1062;1010
 TULCEA;2769;1355;1414;644;367;277;2125;988;1137
 VALCEA;3720;1817;1903;1341;719;622;2379;1098;1281
 VASLUI;10183;4189;5994;1326;695;631;8857;3494;5363
 VRANCEA;2414;1167;1247;514;275;239;1900;892;1008
BUCURESTI;8158;4686;3472;8158;4686;3472;0;0;0
Total TARA ;268393;124400;143993;71382;39467;31915;197011;84933;112078
