judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4987,312,290,1010,1330,1013,1032
ARAD,2926,175,124,497,812,671,647
ARGES,8185,521,477,1620,2154,1628,1785
BACAU,6091,340,251,910,1613,1371,1606
BIHOR,4820,354,324,992,1292,805,1053
BISTRITA NASAUD,4512,306,261,681,1112,847,1305
BOTOSANI,4430,183,194,798,1271,980,1004
BRAILA,4298,293,198,740,1150,726,1191
BRASOV,6360,654,462,1476,1580,1057,1131
BUZAU,7305,356,276,962,1832,1834,2045
CALARASI,4127,563,189,835,1079,679,782
CARAS-SEVERIN,2891,181,147,467,731,606,759
CLUJ,4876,439,312,953,1237,916,1019
CONSTANTA,4345,250,207,730,1110,685,1363
COVASNA,3163,475,230,694,766,523,475
DAMBOVITA,5219,375,271,1009,1305,1089,1170
DOLJ,18472,1433,1176,3566,4772,3615,3910
GALATI,9302,507,401,1413,2602,1799,2580
GIURGIU,1962,139,126,379,540,361,417
GORJ,4159,190,170,665,1022,1027,1085
HARGHITA,5534,825,418,1221,1355,852,863
HUNEDOARA,7580,779,585,1332,1792,1639,1453
IALOMITA,4164,237,188,773,1127,739,1100
IASI,9902,550,444,1730,2879,1690,2609
ILFOV,981,51,43,198,260,198,231
MARAMURES,4298,420,241,999,1179,749,710
MEHEDINTI,6662,332,280,979,1770,1494,1807
MUNICIPIUL BUCURESTI,10259,206,802,2344,2598,2359,1950
MURES,7155,890,593,1580,1840,947,1305
NEAMT,8371,441,350,1409,2290,1831,2050
OLT,7300,616,556,1046,1809,1558,1715
PRAHOVA,6597,444,286,1173,1809,1500,1385
SALAJ,5072,632,351,1150,1299,814,826
SATU-MARE,5835,757,420,1356,1613,878,811
SIBIU,4918,426,396,1197,1278,680,941
SUCEAVA,11677,1074,781,2485,3133,1751,2453
TELEORMAN,9852,622,498,1767,2591,2037,2337
TIMIS,2865,149,129,568,755,521,743
TULCEA,2483,176,260,433,481,570,563
VALCEA,3010,137,144,456,759,825,689
VASLUI ,9399,272,292,1404,2779,2300,2352
VRANCEA,2565,196,117,475,608,578,591
TOTAL,248909,18278,14260,46472,65314,48742,55843
