JUDET ;NUMAR TOTAL SOMERI ;NUMAR TOTAL SOMERI FEMEI  ;NUMAR TOTAL SOMERI BARBATI ;NUMAR TOTAL SOMERI DIN MEDIUL URBAN ;NUMAR SOMERI FEMEI DIN MEDIUL URBAN ;NUMAR SOMERI BARBATI DIN MEDIUL URBAN ;NUMAR TOTAL SOMERI DIN MEDIUL RURAL ;NUMAR SOMERI FEMEI DIN MEDIUL RURAL ;NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
 ALBA;5530;2702;2828;1657;908;749;3873;1794;2079
 ARAD;3592;1769;1823;1254;662;592;2338;1107;1231
 ARGES;8651;3991;4660;1272;794;478;7379;3197;4182
 BACAU;3383;1585;1798;1186;623;563;2197;962;1235
 BIHOR;5051;2527;2524;1444;873;571;3607;1654;1953
 BISTRITA-NASAUD;3691;1724;1967;1074;546;528;2617;1178;1439
 BOTOSANI;4160;1825;2335;1118;625;493;3042;1200;1842
 BRAILA;5355;2308;3047;1180;674;506;4175;1634;2541
 BRASOV;6815;3033;3782;1817;925;892;4998;2108;2890
 BUZAU;5889;2621;3268;1028;577;451;4861;2044;2817
 CALARASI;4295;2092;2203;1008;563;445;3287;1529;1758
 CARAS-SEVERIN;3090;1417;1673;1329;660;669;1761;757;1004
 CLUJ;5089;2552;2537;1921;1144;777;3168;1408;1760
 CONSTANTA;5093;2663;2430;1767;1140;627;3326;1523;1803
 COVASNA;3837;1605;2232;1095;495;600;2742;1110;1632
 DAMBOVITA;6344;3006;3338;889;504;385;5455;2502;2953
 DOLJ;19604;8881;10723;2508;1357;1151;17096;7524;9572
 GALATI;10399;4238;6161;1657;885;772;8742;3353;5389
 GIURGIU;1510;787;723;290;182;108;1220;605;615
 GORJ;4567;2404;2163;1401;882;519;3166;1522;1644
 HARGHITA;6126;2991;3135;1789;1030;759;4337;1961;2376
 HUNEDOARA;6574;3623;2951;4460;2524;1936;2114;1099;1015
 IALOMITA;4446;2009;2437;1095;564;531;3351;1445;1906
 IASI;9481;4369;5112;1395;785;610;8086;3584;4502
 ILFOV;947;607;340;234;160;74;713;447;266
 MARAMURES;4819;2413;2406;2098;1145;953;2721;1268;1453
 MEHEDINTI;7229;3119;4110;1049;581;468;6180;2538;3642
 MURES;6327;2804;3523;1669;885;784;4658;1919;2739
 NEAMT;8889;3756;5133;1363;748;615;7526;3008;4518
 OLT;7823;3444;4379;1218;664;554;6605;2780;3825
 PRAHOVA;6244;3271;2973;1915;1138;777;4329;2133;2196
 SALAJ;5347;2294;3053;824;446;378;4523;1848;2675
 SATU MARE;6613;3168;3445;1352;732;620;5261;2436;2825
 SIBIU;5772;2708;3064;1581;861;720;4191;1847;2344
 SUCEAVA;12562;5441;7121;2934;1434;1500;9628;4007;5621
 TELEORMAN;10091;4049;6042;1734;812;922;8357;3237;5120
 TIMIS;3256;1774;1482;1299;737;562;1957;1037;920
 TULCEA;2637;1309;1328;676;418;258;1961;891;1070
 VALCEA;3595;1699;1896;996;542;454;2599;1157;1442
 VASLUI;9913;4089;5824;1205;627;578;8708;3462;5246
 VRANCEA;2213;1066;1147;436;232;204;1777;834;943
BUCURESTI;7745;4427;3318;7745;4427;3318;0;0;0
Total TARA ;254594;118160;136434;65962;36511;29451;188632;81649;106983
