JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,085     "," 2,526     "," 2,559     "," 1,811     "," 3,274     ", 3.22     , 3.55     , 2.95     ,
ARAD," 3,083     "," 1,579     "," 1,504     "," 1,032     "," 2,051     ", 1.59     , 1.90     , 1.35     ,
ARGES," 8,138     "," 3,800     "," 4,338     "," 1,729     "," 6,409     ", 3.49     , 3.51     , 3.46     ,
BACAU," 5,407     "," 2,365     "," 3,042     "," 1,329     "," 4,078     ", 2.85     , 2.93     , 2.79     ,
BIHOR," 4,697     "," 2,360     "," 2,337     "," 1,451     "," 3,246     ", 1.97     , 2.26     , 1.75     ,
BISTRITA NASAUD," 4,364     "," 2,134     "," 2,230     "," 1,783     "," 2,581     ", 3.77     , 4.34     , 3.35     ,
BOTOSANI," 4,642     "," 2,163     "," 2,479     ", 844     ," 3,798     ", 4.16     , 4.24     , 4.09     ,
BRAILA," 4,667     "," 1,980     "," 2,687     ", 691     ," 3,976     ", 4.24     , 3.91     , 4.52     ,
BRASOV," 6,499     "," 2,935     "," 3,564     ", 901     ," 5,598     ", 2.50     , 2.58     , 2.45     ,
BUZAU," 7,042     "," 3,036     "," 4,006     "," 1,223     "," 5,819     ", 4.84     , 4.83     , 4.85     ,
CALARASI," 4,293     "," 2,025     "," 2,268     ", 430     ," 3,863     ", 5.63     , 5.87     , 5.43     ,
CARA?-SEVERIN," 2,852     "," 1,280     "," 1,572     ", 965     ," 1,887     ", 3.06     , 3.22     , 2.94     ,
CLUJ," 4,714     "," 2,386     "," 2,328     "," 1,285     "," 3,429     ", 1.30     , 1.48     , 1.16     ,
CONSTANTA," 4,254     "," 2,251     "," 2,003     "," 1,105     "," 3,149     ", 1.52     , 1.87     , 1.26     ,
COVASNA," 3,565     "," 1,617     "," 1,948     ", 487     ," 3,078     ", 4.44     , 4.50     , 4.39     ,
DAMBOVITA," 5,250     "," 2,573     "," 2,677     "," 1,224     "," 4,026     ", 3.08     , 3.69     , 2.66     ,
DOLJ," 18,919     "," 8,620     "," 10,299     "," 1,805     "," 17,114     ", 8.20     , 8.48     , 7.97     ,
GALATI," 9,356     "," 3,890     "," 5,466     "," 1,027     "," 8,329     ", 5.56     , 5.13     , 5.91     ,
GIURGIU," 1,861     ", 928     , 933     , 393     ," 1,468     ", 2.79     , 3.19     , 2.49     ,
GORJ," 4,302     "," 2,203     "," 2,099     "," 1,165     "," 3,137     ", 3.52     , 3.98     , 3.14     ,
HARGHITA," 5,516     "," 2,672     "," 2,844     "," 1,145     "," 4,371     ", 4.48     , 5.14     , 3.99     ,
HUNEDOARA," 7,372     "," 4,121     "," 3,251     "," 2,155     "," 5,217     ", 4.73     , 5.66     , 3.92     ,
IALOMITA," 4,361     "," 2,118     "," 2,243     ", 594     ," 3,767     ", 5.49     , 5.97     , 5.10     ,
IASI," 9,970     "," 4,413     "," 5,557     ", 982     ," 8,988     ", 3.61     , 3.51     , 3.70     ,
ILFOV, 921     , 583     , 338     , 399     , 522     , 0.43     , 0.67     , 0.27     ,
MARAMURES," 4,069     "," 2,036     "," 2,033     "," 1,187     "," 2,882     ", 2.28     , 2.57     , 2.04     ,
MEHEDINTI," 6,674     "," 2,878     "," 3,796     ", 831     ," 5,843     ", 7.82     , 7.49     , 8.09     ,
MUN. BUC.," 9,985     "," 5,692     "," 4,293     "," 1,618     "," 8,367     ", 0.79     , 0.89     , 0.69     ,
MURES," 6,731     "," 3,084     "," 3,647     "," 1,237     "," 5,494     ", 3.15     , 3.43     , 2.95     ,
NEAMT," 7,927     "," 3,436     "," 4,491     "," 1,292     "," 6,635     ", 5.12     , 4.97     , 5.23     ,
OLT," 7,368     "," 3,249     "," 4,119     "," 1,019     "," 6,349     ", 5.51     , 5.59     , 5.45     ,
PRAHOVA," 6,397     "," 3,251     "," 3,146     "," 2,154     "," 4,243     ", 2.34     , 2.88     , 1.96     ,
SALAJ," 5,027     "," 2,176     "," 2,851     ", 791     ," 4,236     ", 5.42     , 5.48     , 5.38     ,
SATU MARE," 5,897     "," 2,818     "," 3,079     ", 753     ," 5,144     ", 4.51     , 4.74     , 4.31     ,
SIBIU," 5,190     "," 2,480     "," 2,710     ", 939     ," 4,251     ", 2.71     , 2.89     , 2.56     ,
SUCEAVA," 11,982     "," 5,181     "," 6,801     "," 2,527     "," 9,455     ", 6.10     , 6.03     , 6.16     ,
TELEORMAN," 9,931     "," 4,061     "," 5,870     "," 1,063     "," 8,868     ", 8.98     , 8.04     , 9.77     ,
TIMIS," 3,285     "," 1,796     "," 1,489     "," 1,507     "," 1,778     ", 0.98     , 1.22     , 0.79     ,
TULCEA," 2,503     "," 1,221     "," 1,282     ", 592     ," 1,911     ", 3.40     , 3.58     , 3.24     ,
VALCEA," 2,500     "," 1,382     "," 1,118     "," 1,790     ", 710     , 1.75     , 2.21     , 1.39     ,
VASLUI," 9,744     "," 4,098     "," 5,646     "," 1,118     "," 8,626     ", 8.98     , 8.05     , 9.80     ,
VRANCEA," 2,427     "," 1,192     "," 1,235     ", 552     ," 1,875     ", 2.09     , 2.25     , 1.96     ,
Total ," 248,767     "," 116,589     "," 132,178     "," 48,925     "," 199,842     ", 3.09     , 3.22     , 2.99     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
