JUDET  ;Total someri, din care: ;fara studii;invatamant primar ;invatamant gimnazial ;invatamant liceal;invatamant posticeal;invatamant profesional/arte si meserii;invatamant universitar
ALBA ;5652;365;1060;1722;1187;60;952;306
ARAD;3526;857;504;955;580;47;309;274
ARGES;8939;421;2474;2903;1276;88;1455;322
BACAU;3982;384;550;1431;582;51;754;230
BIHOR;5609;684;1624;1383;788;86;619;425
BISTRITA;3940;351;793;1179;811;49;561;196
BOTOSANI;4915;140;927;2210;643;49;826;120
BRAILA;5494;705;1293;2187;481;67;627;134
BRASOV;7135;822;2185;2511;694;50;541;332
BUZAU;6473;1651;200;2441;905;48;1094;134
CALARASI;4674;555;1636;1596;445;15;374;53
CARAS;3317;340;543;982;749;56;450;197
CLUJ;5305;876;1018;1312;792;103;742;462
CONSTANTA;6478;762;1340;1761;1328;80;820;387
COVASNA;3984;582;1804;815;381;34;309;59
DAMBOVITA;6420;519;1730;2275;887;73;758;178
DOLJ;20771;1552;5985;7739;2771;96;2244;384
GALATI;10663;1231;2473;4278;1038;73;1276;294
GIURGIU;2008;215;421;789;351;16;146;70
GORJ;4727;318;333;1413;1247;86;1052;278
HARGHITA;6692;1206;1871;1598;958;83;776;200
HUNEDOARA;6964;565;1039;1856;1765;128;1010;601
IALOMITA;4782;527;1135;1957;408;26;667;62
IASI;10176;537;2134;3456;856;85;2700;408
ILFOV;956;88;201;230;212;5;96;124
MARAMURES;4570;316;874;1154;1004;105;783;334
MEHEDINTI;7484;726;1365;3221;1157;80;793;142
MUN. BUC.;8158;7;37;1224;3038;171;1479;2202
MURES;6829;813;2590;1728;648;71;758;221
NEAMT;8921;632;1646;3294;985;80;2072;212
OLT;7719;723;911;3193;1330;81;1298;183
PRAHOVA;6474;427;1029;1982;1142;95;1405;394
SALAJ;5671;796;1836;1652;588;43;581;175
SATU M.;6696;1139;2593;1973;441;24;426;100
SIBIU;5796;613;2294;1393;527;36;635;298
SUCEAVA;13446;978;3350;4977;1606;133;2021;381
TELEORMAN;10531;1082;1277;5771;1142;58;1079;122
TIMIS;3430;579;387;833;672;45;443;471
TULCEA;2769;0;387;1281;573;0;456;72
VALCEA;3720;75;354;927;1092;80;908;284
VASLUI;10183;451;2164;4850;1021;48;1567;82
VRANCEA;2414;115;566;869;390;57;304;113
Total general;268393;25725;58933;91301;39491;2761;38166;12016
