JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,246     "," 2,566     "," 2,680     "," 1,745     "," 3,501     ", 3.41     , 3.62     , 3.23     ,
ARAD," 3,087     "," 1,596     "," 1,491     "," 1,089     "," 1,998     ", 1.60     , 1.90     , 1.38     ,
ARGES," 8,141     "," 3,835     "," 4,306     "," 1,797     "," 6,344     ", 3.51     , 3.55     , 3.48     ,
BACAU," 4,854     "," 2,214     "," 2,640     "," 1,426     "," 3,428     ", 2.58     , 2.72     , 2.47     ,
BIHOR," 4,934     "," 2,479     "," 2,455     "," 1,682     "," 3,252     ", 2.09     , 2.36     , 1.87     ,
BISTRITA NASAUD," 4,248     "," 2,149     "," 2,099     "," 1,769     "," 2,479     ", 3.75     , 4.38     , 3.27     ,
BOTOSANI," 4,944     "," 2,297     "," 2,647     ", 879     ," 4,065     ", 4.49     , 4.53     , 4.46     ,
BRAILA," 5,011     "," 2,235     "," 2,776     ", 846     ," 4,165     ", 4.64     , 4.52     , 4.75     ,
BRASOV," 6,383     "," 2,848     "," 3,535     ", 909     ," 5,474     ", 2.47     , 2.57     , 2.39     ,
BUZAU," 7,106     "," 3,123     "," 3,983     "," 1,348     "," 5,758     ", 4.96     , 4.82     , 5.07     ,
CALARASI," 4,393     "," 2,181     "," 2,212     ", 511     ," 3,882     ", 5.76     , 6.16     , 5.41     ,
CARA?-SEVERIN," 2,945     "," 1,339     "," 1,606     "," 1,064     "," 1,881     ", 3.22     , 3.51     , 3.02     ,
CLUJ," 4,738     "," 2,383     "," 2,355     "," 1,287     "," 3,451     ", 1.32     , 1.51     , 1.17     ,
CONSTANTA," 4,418     "," 2,328     "," 2,090     "," 1,177     "," 3,241     ", 1.60     , 1.91     , 1.35     ,
COVASNA," 3,749     "," 1,749     "," 2,000     ", 686     ," 3,063     ", 4.73     , 4.84     , 4.64     ,
DAMBOVITA," 5,238     "," 2,505     "," 2,733     "," 1,267     "," 3,971     ", 3.21     , 3.68     , 2.88     ,
DOLJ," 19,357     "," 8,849     "," 10,508     "," 1,901     "," 17,456     ", 8.42     , 8.68     , 8.22     ,
GALATI," 9,139     "," 3,829     "," 5,310     "," 1,143     "," 7,996     ", 5.51     , 5.04     , 5.90     ,
GIURGIU," 1,883     ", 953     , 930     , 394     ," 1,489     ", 2.79     , 3.18     , 2.47     ,
GORJ," 4,445     "," 2,261     "," 2,184     "," 1,239     "," 3,206     ", 3.75     , 4.19     , 3.38     ,
HARGHITA," 5,735     "," 2,792     "," 2,943     "," 1,371     "," 4,364     ", 4.78     , 5.50     , 4.25     ,
HUNEDOARA," 7,214     "," 3,966     "," 3,248     "," 2,131     "," 5,083     ", 4.71     , 5.52     , 3.99     ,
IALOMITA," 4,497     "," 2,159     "," 2,338     ", 715     ," 3,782     ", 5.74     , 6.26     , 5.34     ,
IASI," 9,619     "," 4,305     "," 5,314     "," 1,002     "," 8,617     ", 3.48     , 3.40     , 3.54     ,
ILFOV, 872     , 547     , 325     , 373     , 499     , 0.40     , 0.60     , 0.26     ,
MARAMURES," 4,218     "," 2,195     "," 2,023     "," 1,522     "," 2,696     ", 2.39     , 2.76     , 2.09     ,
MEHEDINTI," 6,662     "," 2,868     "," 3,794     ", 879     ," 5,783     ", 7.91     , 7.61     , 8.16     ,
MUN. BUC.," 9,830     "," 5,569     "," 4,261     "," 1,625     "," 8,205     ", 0.78     , 0.86     , 0.68     ,
MURES," 5,985     "," 2,829     "," 3,156     "," 1,345     "," 4,640     ", 2.86     , 3.12     , 2.66     ,
NEAMT," 8,311     "," 3,561     "," 4,750     "," 1,324     "," 6,987     ", 5.47     , 5.30     , 5.61     ,
OLT," 7,561     "," 3,384     "," 4,177     "," 1,072     "," 6,489     ", 5.80     , 5.86     , 5.75     ,
PRAHOVA," 6,282     "," 3,162     "," 3,120     "," 2,240     "," 4,042     ", 2.36     , 2.83     , 2.02     ,
SALAJ," 5,116     "," 2,198     "," 2,918     ", 823     ," 4,293     ", 5.66     , 5.66     , 5.66     ,
SATU MARE," 5,815     "," 2,783     "," 3,032     ", 722     ," 5,093     ", 4.54     , 4.73     , 4.37     ,
SIBIU," 5,057     "," 2,430     "," 2,627     ", 944     ," 4,113     ", 2.66     , 2.95     , 2.44     ,
SUCEAVA," 12,412     "," 5,393     "," 7,019     "," 2,728     "," 9,684     ", 6.34     , 6.13     , 6.51     ,
TELEORMAN," 9,389     "," 3,883     "," 5,506     "," 1,226     "," 8,163     ", 8.73     , 7.78     , 9.56     ,
TIMIS," 3,434     "," 1,875     "," 1,559     "," 1,809     "," 1,625     ", 1.03     , 1.29     , 0.82     ,
TULCEA," 2,528     "," 1,226     "," 1,302     ", 588     ," 1,940     ", 3.49     , 3.67     , 3.33     ,
VALCEA," 3,167     "," 1,652     "," 1,515     "," 1,786     "," 1,381     ", 2.25     , 2.62     , 1.95     ,
VASLUI," 9,901     "," 4,213     "," 5,688     "," 1,225     "," 8,676     ", 9.23     , 8.24     , 10.12     ,
VRANCEA," 2,441     "," 1,197     "," 1,244     ", 660     ," 1,781     ", 2.18     , 2.34     , 2.04     ,
Total ," 250,305     "," 117,906     "," 132,399     "," 52,269     "," 198,036     ", 3.14     , 3.26     , 3.04     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
