JUDET ;NUMAR TOTAL SOMERI ;NUMAR TOTAL SOMERI FEMEI  ;NUMAR TOTAL SOMERI BARBATI ;NUMAR TOTAL SOMERI DIN MEDIUL URBAN ;NUMAR SOMERI FEMEI DIN MEDIUL URBAN ;NUMAR SOMERI BARBATI DIN MEDIUL URBAN ;NUMAR TOTAL SOMERI DIN MEDIUL RURAL ;NUMAR SOMERI FEMEI DIN MEDIUL RURAL ;NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
 ALBA;5578;2703;2875;1661;906;755;3917;1797;2120
 ARAD;3582;1779;1803;1247;665;582;2335;1114;1221
 ARGES;8637;3938;4699;1227;747;480;7410;3191;4219
 BACAU;3404;1599;1805;1190;633;557;2214;966;1248
 BIHOR;5222;2576;2646;1514;904;610;3708;1672;2036
 BISTRITA-NASAUD;3775;1762;2013;1087;558;529;2688;1204;1484
 BOTOSANI;4401;1889;2512;1145;635;510;3256;1254;2002
 BRAILA;5371;2324;3047;1195;690;505;4176;1634;2542
 BRASOV;6971;3102;3869;1849;951;898;5122;2151;2971
 BUZAU;6115;2731;3384;1078;609;469;5037;2122;2915
 CALARASI;4412;2174;2238;1039;591;448;3373;1583;1790
 CARAS-SEVERIN;3184;1510;1674;1370;710;660;1814;800;1014
 CLUJ;5084;2530;2554;1890;1137;753;3194;1393;1801
 CONSTANTA;5623;3062;2561;2079;1389;690;3544;1673;1871
 COVASNA;3853;1672;2181;1090;530;560;2763;1142;1621
 DAMBOVITA;6277;2952;3325;872;487;385;5405;2465;2940
 DOLJ;19853;8984;10869;2590;1412;1178;17263;7572;9691
 GALATI;10424;4223;6201;1621;854;767;8803;3369;5434
 GIURGIU;1895;948;947;355;201;154;1540;747;793
 GORJ;4609;2391;2218;1409;880;529;3200;1511;1689
 HARGHITA;6220;2946;3274;1754;964;790;4466;1982;2484
 HUNEDOARA;6627;3672;2955;4475;2530;1945;2152;1142;1010
 IALOMITA;4510;2022;2488;1118;572;546;3392;1450;1942
 IASI;9611;4412;5199;1411;793;618;8200;3619;4581
 ILFOV;957;595;362;221;143;78;736;452;284
 MARAMURES;4660;2336;2324;2096;1122;974;2564;1214;1350
 MEHEDINTI;7306;3174;4132;1103;626;477;6203;2548;3655
 MURES;6291;2826;3465;1739;916;823;4552;1910;2642
 NEAMT;8947;3797;5150;1383;765;618;7564;3032;4532
 OLT;8006;3533;4473;1400;683;717;6606;2850;3756
 PRAHOVA;6411;3327;3084;1957;1149;808;4454;2178;2276
 SALAJ;5470;2329;3141;822;435;387;4648;1894;2754
 SATU MARE;6681;3184;3497;1349;734;615;5332;2450;2882
 SIBIU;5756;2716;3040;1637;887;750;4119;1829;2290
 SUCEAVA;12928;5492;7436;3004;1447;1557;9924;4045;5879
 TELEORMAN;10483;4195;6288;1769;835;934;8714;3360;5354
 TIMIS;3283;1762;1521;1316;736;580;1967;1026;941
 TULCEA;2674;1308;1366;661;389;272;2013;919;1094
 VALCEA;3533;1685;1848;1046;567;479;2487;1118;1369
 VASLUI;10019;4135;5884;1249;661;588;8770;3474;5296
 VRANCEA;2272;1113;1159;466;248;218;1806;865;941
BUCURESTI;7823;4477;3346;7823;4477;3346;0;0;0
Total TARA ;258738;119885;138853;67307;37168;30139;191431;82717;108714
