JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5085,2526,2559,1622,900,722,3463,1626,1837,
 ARAD,3083,1579,1504,1046,575,471,2037,1004,1033,
 ARGES,8138,3800,4338,1118,686,432,7020,3114,3906,
 BACAU,5407,2365,3042,1538,765,773,3869,1600,2269,
 BIHOR,4697,2360,2337,1141,688,453,3556,1672,1884,
 BISTRITA-NASAUD,4364,2134,2230,1301,691,610,3063,1443,1620,
 BOTOSANI,4642,2163,2479,1330,771,559,3312,1392,1920,
 BRAILA,4667,1980,2687,1092,586,506,3575,1394,2181,
 BRASOV,6499,2935,3564,1615,888,727,4884,2047,2837,
 BUZAU,7042,3036,4006,1183,659,524,5859,2377,3482,
 CALARASI,4293,2025,2268,1066,600,466,3227,1425,1802,
 CARAS-SEVERIN,2852,1280,1572,1167,578,589,1685,702,983,
 CLUJ,4714,2386,2328,1774,1105,669,2940,1281,1659,
 CONSTANTA,4254,2251,2003,1655,1021,634,2599,1230,1369,
 COVASNA,3565,1617,1948,1002,541,461,2563,1076,1487,
 DAMBOVITA,5250,2573,2677,836,492,344,4414,2081,2333,
 DOLJ,18919,8620,10299,2444,1334,1110,16475,7286,9189,
 GALATI,9356,3890,5466,1325,727,598,8031,3163,4868,
 GIURGIU,1861,928,933,309,170,139,1552,758,794,
 GORJ,4302,2203,2099,1275,797,478,3027,1406,1621,
 HARGHITA,5516,2672,2844,1598,886,712,3918,1786,2132,
 HUNEDOARA,7372,4121,3251,4720,2725,1995,2652,1396,1256,
 IALOMITA,4361,2118,2243,1025,567,458,3336,1551,1785,
 IASI,9970,4413,5557,1247,654,593,8723,3759,4964,
 ILFOV,921,583,338,216,142,74,705,441,264,
 MARAMURES,4069,2036,2033,1708,919,789,2361,1117,1244,
 MEHEDINTI,6674,2878,3796,1047,564,483,5627,2314,3313,
 MURES,6731,3084,3647,1799,954,845,4932,2130,2802,
 NEAMT,7927,3436,4491,1307,720,587,6620,2716,3904,
 OLT,7368,3249,4119,1225,745,480,6143,2504,3639,
 PRAHOVA,6397,3251,3146,1805,1059,746,4592,2192,2400,
 SALAJ,5027,2176,2851,756,426,330,4271,1750,2521,
 SATU MARE,5897,2818,3079,1191,672,519,4706,2146,2560,
 SIBIU,5190,2480,2710,1357,748,609,3833,1732,2101,
 SUCEAVA,11982,5181,6801,2832,1394,1438,9150,3787,5363,
 TELEORMAN,9931,4061,5870,1568,786,782,8363,3275,5088,
 TIMIS,3285,1796,1489,1361,763,598,1924,1033,891,
 TULCEA,2503,1221,1282,589,328,261,1914,893,1021,
 VALCEA,2500,1382,1118,1118,650,468,1382,732,650,
 VASLUI,9744,4098,5646,1292,710,582,8452,3388,5064,
 VRANCEA,2427,1192,1235,449,246,203,1978,946,1032,
BUCURESTI,9985,5692,4293,9985,5692,4293,0,0,0,
Total TARA ,248767,116589,132178,66034,36924,29110,182733,79665,103068,
