judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5060,386,299,991,1291,1016,1077
ARAD,3035,230,128,497,786,693,701
ARGES,8096,499,476,1586,2140,1607,1788
BACAU,5047,349,205,719,1314,1101,1359
BIHOR,4914,506,290,977,1237,809,1095
BISTRITA NASAUD,4127,436,230,591,975,716,1179
BOTOSANI,4569,378,191,755,1210,1000,1035
BRAILA,4775,415,208,761,1230,800,1361
BRASOV,6366,678,471,1521,1579,1052,1065
BUZAU,7070,460,220,928,1730,1764,1968
CALARASI,4277,716,200,831,1068,630,832
CARAS-SEVERIN,2791,246,139,425,675,575,731
CLUJ,4596,444,269,911,1167,847,958
CONSTANTA,4222,288,170,705,1069,684,1306
COVASNA,3689,741,240,756,863,568,521
DAMBOVITA,5168,497,247,923,1279,1035,1187
DOLJ,18707,1628,1179,3582,4690,3647,3981
GALATI,9118,568,387,1343,2502,1761,2557
GIURGIU,1835,250,77,309,472,352,375
GORJ,4207,372,152,639,977,1016,1051
HARGHITA,5561,921,398,1173,1339,835,895
HUNEDOARA,7263,786,518,1280,1687,1534,1458
IALOMITA,4399,422,206,784,1100,725,1162
IASI,9767,634,466,1660,2750,1638,2619
ILFOV,897,49,40,168,236,186,218
MARAMURES,4293,480,225,916,1152,762,758
MEHEDINTI,6544,361,267,916,1739,1431,1830
MUNICIPIUL BUCURESTI,9831,279,695,2280,2468,2303,1806
MURES,6079,887,412,1282,1513,820,1165
NEAMT,8123,494,336,1327,2181,1768,2017
OLT,7358,648,727,1114,1627,1564,1678
PRAHOVA,6140,594,229,974,1608,1359,1376
SALAJ,5005,665,364,1147,1252,789,788
SATU-MARE,5832,735,405,1330,1624,882,856
SIBIU,5058,520,394,1201,1272,699,972
SUCEAVA,12133,1540,775,2481,3160,1740,2437
TELEORMAN,9547,757,462,1673,2444,1908,2303
TIMIS,3468,484,146,590,865,535,848
TULCEA,2476,167,210,456,556,551,536
VALCEA,2777,255,135,428,653,664,642
VASLUI ,9738,335,288,1416,2773,2437,2489
VRANCEA,2424,227,102,432,542,547,574
TOTAL,246382,22327,13578,44778,62795,47350,55554
