JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5060,370,907,1582,991,50,858,302
ARAD,3035,791,398,843,447,26,314,216
ARGES,8096,411,2280,2710,1050,93,1240,312
BACAU,5047,493,908,1942,651,30,820,203
BIHOR,4914,650,1452,1185,820,55,460,292
BISTRITA,4127,336,643,1329,947,37,615,220
BOTOSANI,4569,137,819,1985,726,42,740,120
BRAILA,4775,644,1165,1841,404,60,529,132
BRASOV,6366,738,1888,2412,556,46,421,305
BUZAU,7070,2289,153,2534,846,47,1088,113
CALARASI,4277,505,1056,1318,735,48,506,109
CARAS,2791,291,444,787,714,36,355,164
CLUJ,4596,815,836,1132,670,84,665,394
CONSTANTA,4222,696,1013,1092,710,35,428,248
COVASNA,3689,546,1558,741,447,29,305,63
DAMBOVITA,5168,396,1293,1820,886,38,598,137
DOLJ,18707,1393,5405,6899,2576,99,1997,338
GALATI,9118,1122,2138,3717,797,44,1071,229
GIURGIU,1835,197,331,730,399,10,130,38
GORJ,4207,268,285,1293,1069,68,983,241
HARGHITA,5561,1099,1625,1317,815,40,532,133
HUNEDOARA,7263,554,1054,1953,1965,130,1040,567
IALOMITA,4399,454,1001,1763,501,30,593,57
IASI,9767,544,2237,3493,768,56,2360,309
ILFOV,897,85,203,252,153,7,102,95
MARAMURES,4293,316,867,1122,890,76,757,265
MEHEDINTI,6544,636,1158,2858,1051,51,697,93
MUN. BUC.,9831,9,43,1534,3555,224,1905,2561
MURES,6079,815,2166,1492,700,60,636,210
NEAMT,8123,612,1529,3017,938,58,1750,219
OLT,7358,676,875,3098,1235,57,1271,146
PRAHOVA,6140,412,1073,1801,1096,87,1316,355
SALAJ,5005,690,1652,1470,481,23,549,140
SATU M.,5832,1004,2268,1725,365,27,357,86
SIBIU,5058,519,1970,1156,531,32,576,274
SUCEAVA,12133,941,3008,4427,1551,89,1773,344
TELEORMAN,9547,953,1182,5272,1082,40,914,104
TIMIS,3468,535,303,715,941,40,457,477
TULCEA,2476,0,357,1148,514,0,380,77
VALCEA,2777,19,164,580,978,61,718,257
VASLUI,9738,433,2106,4552,1019,43,1502,83
VRANCEA,2424,122,645,891,381,31,274,80
Total general,246382,24516,52458,83528,37951,2239,34582,11108
