JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5327,404,996,1627,1042,51,914,293
ARAD,3100,833,404,850,463,35,295,220
ARGES,8300,405,2327,2729,1161,92,1277,309
BACAU,4428,428,687,1616,637,39,783,238
BIHOR,5145,672,1502,1247,799,64,518,343
BISTRITA,4310,347,738,1307,976,58,634,250
BOTOSANI,4938,150,922,2172,722,51,781,140
BRAILA,5066,657,1199,1962,464,76,559,149
BRASOV,6475,765,2004,2381,560,43,434,288
BUZAU,7167,2193,190,2518,962,60,1109,135
CALARASI,4566,528,1591,1517,486,17,376,51
CARAS,3053,316,502,889,735,49,383,179
CLUJ,4905,860,951,1178,723,81,686,426
CONSTANTA,5060,711,1124,1365,911,66,562,321
COVASNA,3877,567,1679,766,444,37,313,71
DAMBOVITA,5765,492,1536,1912,921,63,677,164
DOLJ,19797,1484,5645,7288,2764,115,2112,389
GALATI,9265,1119,2141,3683,893,68,1100,261
GIURGIU,1934,216,373,848,289,16,142,50
GORJ,4636,296,331,1373,1222,100,1035,279
HARGHITA,6076,1174,1763,1409,877,52,609,192
HUNEDOARA,6962,550,1041,1839,1821,132,1003,576
IALOMITA,4592,502,1088,1855,457,28,606,56
IASI,9719,541,2136,3409,816,85,2348,384
ILFOV,830,87,187,232,137,5,93,89
MARAMURES,4163,303,866,1032,930,81,698,253
MEHEDINTI,7011,678,1260,3008,1146,70,728,121
MUN. BUC.,9501,9,38,1382,3658,222,1680,2512
MURES,6008,753,2150,1459,692,68,652,234
NEAMT,8500,625,1579,3128,961,73,1899,235
OLT,7624,708,926,3195,1269,82,1286,158
PRAHOVA,6517,447,1121,1886,1166,85,1400,412
SALAJ,5384,747,1790,1575,527,28,564,153
SATU M.,6083,1054,2320,1814,390,24,385,96
SIBIU,5199,538,2086,1192,495,35,561,292
SUCEAVA,12657,946,3139,4611,1588,111,1846,416
TELEORMAN,9467,1073,1231,4959,1103,53,926,122
TIMIS,3535,557,382,788,806,46,442,514
TULCEA,2610,0,374,1211,575,0,371,79
VALCEA,3483,44,311,818,1125,67,858,260
VASLUI,9899,441,2127,4650,1027,50,1512,92
VRANCEA,2410,118,607,872,401,39,271,102
Total general,255344,25338,55364,85552,39141,2617,35428,11904
