JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,4987,2440,2557,1652,907,745,3345,1533,1812,
 ARAD,2926,1541,1385,974,557,417,1952,984,968,
 ARGES,8185,3823,4362,1085,652,433,7100,3171,3929,
 BACAU,6091,2611,3480,1705,838,867,4386,1773,2613,
 BIHOR,4820,2500,2320,1157,723,434,3663,1777,1886,
 BISTRITA-NASAUD,4512,2156,2356,1353,719,634,3159,1437,1722,
 BOTOSANI,4430,1977,2453,1154,631,523,3276,1346,1930,
 BRAILA,4298,1819,2479,944,529,415,3354,1290,2064,
 BRASOV,6360,2874,3486,1597,861,736,4763,2013,2750,
 BUZAU,7305,3155,4150,1247,675,572,6058,2480,3578,
 CALARASI,4127,1939,2188,970,506,464,3157,1433,1724,
 CARAS-SEVERIN,2891,1316,1575,1196,581,615,1695,735,960,
 CLUJ,4876,2470,2406,1856,1148,708,3020,1322,1698,
 CONSTANTA,4345,2400,1945,1706,1103,603,2639,1297,1342,
 COVASNA,3163,1477,1686,874,479,395,2289,998,1291,
 DAMBOVITA,5219,2594,2625,825,481,344,4394,2113,2281,
 DOLJ,18472,8349,10123,2310,1258,1052,16162,7091,9071,
 GALATI,9302,3901,5401,1335,734,601,7967,3167,4800,
 GIURGIU,1962,1000,962,295,182,113,1667,818,849,
 GORJ,4159,2134,2025,1217,756,461,2942,1378,1564,
 HARGHITA,5534,2644,2890,1586,888,698,3948,1756,2192,
 HUNEDOARA,7580,4192,3388,4843,2764,2079,2737,1428,1309,
 IALOMITA,4164,1977,2187,977,546,431,3187,1431,1756,
 IASI,9902,4286,5616,1161,605,556,8741,3681,5060,
 ILFOV,981,598,383,219,135,84,762,463,299,
 MARAMURES,4298,2135,2163,1893,989,904,2405,1146,1259,
 MEHEDINTI,6662,2885,3777,1065,577,488,5597,2308,3289,
 MURES,7155,3180,3975,1829,962,867,5326,2218,3108,
 NEAMT,8371,3592,4779,1290,697,593,7081,2895,4186,
 OLT,7300,3239,4061,1289,730,559,6011,2509,3502,
 PRAHOVA,6597,3396,3201,1860,1071,789,4737,2325,2412,
 SALAJ,5072,2207,2865,794,459,335,4278,1748,2530,
 SATU MARE,5835,2729,3106,1184,653,531,4651,2076,2575,
 SIBIU,4918,2360,2558,1291,716,575,3627,1644,1983,
 SUCEAVA,11677,4986,6691,2993,1442,1551,8684,3544,5140,
 TELEORMAN,9852,4030,5822,1605,800,805,8247,3230,5017,
 TIMIS,2865,1522,1343,1144,615,529,1721,907,814,
 TULCEA,2483,1213,1270,579,327,252,1904,886,1018,
 VALCEA,3010,1626,1384,1213,697,516,1797,929,868,
 VASLUI,9399,3920,5479,1125,621,504,8274,3299,4975,
 VRANCEA,2565,1252,1313,485,279,206,2080,973,1107,
BUCURESTI,10259,5997,4262,10259,5997,4262,0,0,0,
Total TARA ,248909,116442,132467,66105,36869,29236,182804,79573,103231,
