JUDET  ;Total someri, din care: ;fara studii;invatamant primar ;invatamant gimnazial ;invatamant liceal;invatamant posticeal;invatamant profesional/arte si meserii;invatamant universitar
ALBA ;5668;382;1060;1730;1180;60;941;315
ARAD;3636;863;520;989;597;47;337;283
ARGES;8818;418;2466;2884;1240;86;1421;303
BACAU;3757;371;517;1311;550;48;728;232
BIHOR;5473;662;1562;1338;782;92;616;421
BISTRITA;3954;349;775;1216;811;42;562;199
BOTOSANI;4671;138;860;2125;589;44;799;116
BRAILA;5526;704;1312;2193;469;62;648;138
BRASOV;7136;826;2170;2512;690;57;546;335
BUZAU;6367;1606;197;2407;871;52;1092;142
CALARASI;4565;537;1597;1573;415;16;369;58
CARAS;3266;339;540;968;728;52;446;193
CLUJ;5241;878;999;1304;746;106;728;480
CONSTANTA;6447;821;1222;1768;1303;88;856;389
COVASNA;3911;577;1774;806;367;35;297;55
DAMBOVITA;6426;520;1781;2290;874;63;721;177
DOLJ;20340;1519;5896;7635;2663;100;2140;387
GALATI;10512;1227;2448;4174;997;70;1310;286
GIURGIU;1942;215;398;759;360;14;132;64
GORJ;4773;319;331;1427;1242;80;1082;292
HARGHITA;6424;1201;1869;1553;841;80;701;179
HUNEDOARA;6711;553;1021;1802;1662;125;954;594
IALOMITA;4714;526;1149;1909;395;27;653;55
IASI;9913;531;2107;3390;798;84;2626;377
ILFOV;989;94;215;233;216;7;93;131
MARAMURES;4758;337;960;1186;1062;106;775;332
MEHEDINTI;7481;741;1377;3238;1100;77;810;138
MUN. BUC.;7924;9;38;1213;2950;169;1417;2128
MURES;6580;768;2491;1682;610;71;745;213
NEAMT;8947;641;1687;3336;928;75;2069;211
OLT;8099;763;959;3424;1326;78;1371;178
PRAHOVA;6300;390;990;1941;1098;83;1395;403
SALAJ;5585;805;1827;1636;556;42;553;166
SATU M.;6857;1171;2706;2030;421;26;406;97
SIBIU;5870;627;2315;1440;529;38;627;294
SUCEAVA;13493;994;3381;5022;1606;131;2005;354
TELEORMAN;10591;1081;1337;5802;1119;48;1080;124
TIMIS;3369;550;359;834;669;43;439;475
TULCEA;2729;0;376;1270;554;0;450;79
VALCEA;3628;81;402;1026;940;73;858;248
VASLUI;10146;451;2154;4871;1005;46;1539;80
VRANCEA;2332;113;554;853;370;54;290;98
Total general;265869;25698;58699;91100;38229;2697;37627;11819
