JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,4918,2427,2491,1567,857,710,3351,1570,1781,
 ARAD,2980,1541,1439,993,545,448,1987,996,991,
 ARGES,8140,3799,4341,1114,682,432,7026,3117,3909,
 BACAU,5726,2476,3250,1624,800,824,4102,1676,2426,
 BIHOR,4682,2393,2289,1146,708,438,3536,1685,1851,
 BISTRITA-NASAUD,4331,2103,2228,1300,694,606,3031,1409,1622,
 BOTOSANI,4281,1934,2347,1124,623,501,3157,1311,1846,
 BRAILA,4502,1910,2592,1048,574,474,3454,1336,2118,
 BRASOV,6409,2901,3508,1623,889,734,4786,2012,2774,
 BUZAU,7083,3046,4037,1196,657,539,5887,2389,3498,
 CALARASI,4187,1913,2274,970,506,464,3217,1407,1810,
 CARAS-SEVERIN,2845,1291,1554,1163,573,590,1682,718,964,
 CLUJ,4850,2458,2392,1864,1156,708,2986,1302,1684,
 CONSTANTA,4115,2215,1900,1605,1019,586,2510,1196,1314,
 COVASNA,3417,1542,1875,905,489,416,2512,1053,1459,
 DAMBOVITA,5096,2503,2593,824,486,338,4272,2017,2255,
 DOLJ,18659,8439,10220,2311,1253,1058,16348,7186,9162,
 GALATI,9367,3923,5444,1315,732,583,8052,3191,4861,
 GIURGIU,1774,879,895,309,188,121,1465,691,774,
 GORJ,3986,2030,1956,1156,727,429,2830,1303,1527,
 HARGHITA,5397,2592,2805,1540,845,695,3857,1747,2110,
 HUNEDOARA,7450,4136,3314,4768,2743,2025,2682,1393,1289,
 IALOMITA,4190,2009,2181,1004,568,436,3186,1441,1745,
 IASI,9828,4301,5527,1166,616,550,8662,3685,4977,
 ILFOV,883,570,313,219,138,81,664,432,232,
 MARAMURES,4174,2094,2080,1807,958,849,2367,1136,1231,
 MEHEDINTI,6691,2883,3808,1067,559,508,5624,2324,3300,
 MURES,6997,3082,3915,1835,956,879,5162,2126,3036,
 NEAMT,8102,3503,4599,1300,713,587,6802,2790,4012,
 OLT,7313,3232,4081,1180,712,468,6133,2520,3613,
 PRAHOVA,6424,3270,3154,1810,1063,747,4614,2207,2407,
 SALAJ,4943,2142,2801,775,450,325,4168,1692,2476,
 SATU MARE,5909,2781,3128,1174,654,520,4735,2127,2608,
 SIBIU,5021,2408,2613,1293,725,568,3728,1683,2045,
 SUCEAVA,11462,4941,6521,2880,1401,1479,8582,3540,5042,
 TELEORMAN,9880,4054,5826,1551,788,763,8329,3266,5063,
 TIMIS,2962,1569,1393,1191,629,562,1771,940,831,
 TULCEA,2461,1204,1257,565,315,250,1896,889,1007,
 VALCEA,2652,1459,1193,1178,681,497,1474,778,696,
 VASLUI,9537,4023,5514,1177,667,510,8360,3356,5004,
 VRANCEA,2531,1251,1280,487,275,212,2044,976,1068,
BUCURESTI,10120,5811,4309,10120,5811,4309,0,0,0,
Total TARA ,246275,115038,131237,65244,36425,28819,181031,78613,102418,
